Speaker Name,イン点,アウト点,文字起こし,色選択
石川,00:00:04:00,00:00:05:00,こんなちっちゃくなってる,Violet
ライラ,00:00:06:00,00:00:08:00,私の、その、職場が。,Rose
石川,00:00:09:00,00:00:11:00,ここ何ですか?それは便利,Violet
石川,00:00:39:00,00:00:48:00,何時ですか? 3月の頭 何時の? 夜8時から 夜8時? 平日の夜8時 すごい結構プライムタイムですよ,Violet
ライラ,00:00:50:00,00:00:53:00,ご飯作ってる時とか そう、ラジオだから聞きながらで,Rose
ライラ,00:00:57:00,00:00:58:00,なるほど,Rose
ライラ,00:01:28:00,00:01:29:00,生きるとは何か,Rose
ライラ,00:01:50:00,00:01:53:00,そういうところから した方がいいと思ってない,Rose
ライラ,00:02:04:00,00:02:23:00,ブーブー もう石川さんと私がどれくらいお互いを わかってるかですねねっ のののの事前情報ですか あの一応チラッとあのそれもやは,Rose
ライラ,00:02:26:00,00:02:36:00,ちょっと引っ掛けたいん いいですか あそっか見えてないですもんね見えてないからいいんだ,Rose
石川,00:02:39:00,00:02:49:00,目が上に持ってて。 はい。 収録ですよね、これしかもね。 収録です。なので、後で編集します。 編集は、編集は、編集があります。 変なこと言ったら、カットしてもらえるんだ。,Violet
ライラ,00:02:51:00,00:02:54:00,私大大変なこと言うの大丈夫です,Rose
石川,00:02:54:00,00:02:56:00,ああ それはありがたいです,Violet
ライラ,00:02:59:00,00:03:04:00,突然英語喋ったりするかもいい ん,Rose
石川,00:03:28:00,00:03:30:00,いきなり始まる感じですか?始まります。,Violet
ライラ,00:03:40:00,00:03:44:00,あっちから歩くとちょっと原宿見渡すし,Rose
石川,00:03:43:00,00:03:45:00,歩きながら?それはいいですね。,Violet
ライラ,00:03:46:00,00:03:50:00,ごめんなさい私イベント屋さんだからどうしても考えちゃう,Rose
石川,00:03:47:00,00:03:48:00,はい,Violet
石川,00:03:51:00,00:03:54:00,ああ その順番と流れよね組み立てを,Violet
ライラ,00:03:52:00,00:03:57:00,流れを ディレクター中瀬ですよね,Rose
石川,00:03:56:00,00:03:58:00,ああいやいいんじゃないですかいいと思いますが,Violet
石川,00:04:06:00,00:04:16:00,あそうですか うーん ここへ何毎日通っていらっしゃるんですか 甘いじゃないああ,Violet
ライラ,00:04:12:00,00:04:19:00,毎日ではないですけど、東京にいるときは週2〜3回くらい来てて,Rose
石川,00:04:17:00,00:04:18:00,なるほど,Violet
ライラ,00:04:21:00,00:04:29:00,ここの下がフードコートで、大体皆さんここまでエスカレーター来ないので、ここからみんな上がってくるっていう感じですね,Rose
石川,00:04:28:00,00:04:30:00,ええええええ、私はそうやって来ました,Violet
石川,00:04:42:00,00:04:44:00,こっち来たのは初めてなんですよね,Violet
ライラ,00:04:45:00,00:04:46:00,あそうなんですか?,Rose
石川,00:04:47:00,00:04:50:00,向こう側は何度も行ってたんですけどね,Violet
ライラ,00:04:50:00,00:04:51:00,おもかどうですか?,Rose
石川,00:04:50:00,00:04:53:00,なんかはいはい あちらの方が古いですよね,Violet
ライラ,00:04:54:00,00:04:59:00,こっちが多分 一昨年の4月オープンなんで,Rose
石川,00:04:58:00,00:04:59:00,そうですよね そうですよね,Violet
石川,00:05:07:00,00:05:08:00,来ないですね,Violet
ライラ,00:05:11:00,00:05:13:00,私も勤めるまでは来てないです。,Rose
石川,00:05:13:00,00:05:14:00,そうですかそうですか,Violet
ライラ,00:05:15:00,00:05:18:00,原宿に見合う人間だろうかみたいな。,Rose
石川,00:05:19:00,00:05:41:00,いやそういうそれはあれだけど 前大学に転職するまで職場が赤坂だったので 明治神宮前で乗り換えてたんでね その時はまあなんかちょくちょくではないですけど 立ち寄ることはありましたが 今はほとんど来る用事がないんでね,Violet
ライラ,00:05:41:00,00:05:46:00,確かに、居座る場所ではないですよね。 人が流れる場所ではある。,Rose
石川,00:05:45:00,00:05:57:00,そうですね そうですね でも今日 メイジング前で降りて ちょっとたまには来ないといけないなと思いましたね やっぱり,Violet
ライラ,00:05:57:00,00:05:58:00,何でですか?,Rose
石川,00:05:57:00,00:05:58:00,なんかその,Violet
石川,00:06:01:00,00:06:06:00,あの たまにこういう 原宿的な空気に触れないと,Violet
ライラ,00:06:07:00,00:06:13:00,刺激ですかねそうですよね結構 そうしないとルーティンに持っちゃいがち,Rose
石川,00:06:13:00,00:06:18:00,そうなんです。私、家が調布で、今職場が、湘南大って、,Violet
石川,00:06:21:00,00:06:25:00,遠いんですけど。 田舎から田舎へ通ってるみたいな感じなんで。,Violet
ライラ,00:06:26:00,00:06:30:00,田舎から都会通って 田舎に 東海通んないですね。,Rose
石川,00:06:29:00,00:06:30:00,都会通んないですね。,Violet
ライラ,00:06:31:00,00:07:00:00,そっかそっか。それを触れないと。 私もそうですね。滋賀と東京都二拠点生活なので。 やっぱり東京で刺激を 出稼ぎって呼んでるんですけど。 お金だけじゃなくてアイディアとか 今どんなものが世の中やってるんだろうということを 含めて ちょっと刺激もらって滋賀会など,Rose
石川,00:06:57:00,00:07:01:00,それはいいですね。 ねー なるほどなるほどなるほど,Violet
ライラ,00:07:01:00,00:07:05:00,滋賀でまた自然でチャージして 持って帰ってくるっていう,Rose
石川,00:07:06:00,00:07:08:00,ここはどうですか 快適ですか,Violet
ライラ,00:07:07:00,00:07:11:00,ここはどうですか 開いていきますここ結構快適ですねは多分,Rose
石川,00:07:10:00,00:07:11:00,うん,Violet
ライラ,00:07:12:00,00:07:21:00,この後中に入っていくと思うんですけど中も結構抜き打ちだったりで開放的で一面ガラス窓で,Rose
石川,00:07:12:00,00:07:16:00,その後中に入っていって思うんですけど 中も結構ねき打ちだったりで,Violet
ライラ,00:07:21:00,00:07:32:00,結構 ありがたいことに広々とした 場所ではあるし やっぱりいろんな方が来るんで そことの会話とかもあったりして,Rose
石川,00:07:32:00,00:07:36:00,あー 俺はなんか,Violet
ライラ,00:07:39:00,00:07:40:00,ブラブラできるからいいんですよ,Rose
石川,00:07:40:00,00:07:52:00,はいはいはい そうでしょうね 仕事柄つい色々こう植物やら 土どうなっているのかなとか 水やりどうしているのかなとか,Violet
ライラ,00:07:53:00,00:08:02:00,水はこの配置となってここですね水のパイプですね多分 パイプでちょっと隠しきれてないこれはねこれ,Rose
石川,00:07:53:00,00:08:12:00,床の排水どうなっているのかなとか そんなことばっか見ちゃって全然落ち着いてられないんですよね これとこ来ると これはね これで人工乾水ですね タイマーだと思います タイマーで水圧がかかって ここで止まってるじゃないですか,Violet
石川,00:08:15:00,00:08:27:00,途中にポツポツ穴が開いてて 水やりをするんですよ自動的に そうしないと乾いちゃうから こういうところは植物の根が張るんで 乳が必要なんですよと熱くなってるんですよね,Violet
ライラ,00:08:28:00,00:08:29:00,これローズマリー?,Rose
石川,00:08:30:00,00:08:31:00,それローズマリーですね,Violet
ライラ,00:08:31:00,00:08:32:00,え、取りたい,Rose
石川,00:08:32:00,00:08:33:00,ローズマリーですね,Violet
ライラ,00:08:34:00,00:08:36:00,うちの庭にある,Rose
石川,00:08:35:00,00:08:36:00,アロエもあるし,Violet
石川,00:08:39:00,00:09:03:00,だいたいこういうところ乾燥に強いやつが選ばれるので なんとなくちょっとトロピカルな地中海風になるんですよね オリーブの木もあるしね こういうのはオーストラリアから来たやつですね だいたいね あとこれ面白い これ水勾配がないんですね ここね 水勾配って何ですか,Violet
ライラ,00:09:02:00,00:09:03:00,水勾配って何ですか?,Rose
石川,00:09:03:00,00:09:30:00,外だと雨が降ると排水しなきゃいけないから 道路なんか斜めになってるじゃないですか地面が あれは水を流すためなんですけど ここはこの板が二重になってて 下は勾配がついてるんだけど その上にこれが浮いてて それで水平になってるから ああいう建物のところ斜めにならない ずっと床のままこっちに来てるんですよね この隙間から雨水が下に入るんですよ,Violet
ライラ,00:09:30:00,00:09:34:00,確かに外を歩いてる時,Rose
石川,00:09:32:00,00:09:33:00,真っ直ぐですよね,Violet
ライラ,00:09:35:00,00:09:38:00,すっごい急に斜めな歩道とかがあって,Rose
石川,00:09:37:00,00:09:40:00,ところがありますよね こっち車椅子なんで,Violet
ライラ,00:09:39:00,00:09:41:00,車椅子なんで 余計に分かりますよね,Rose
石川,00:09:40:00,00:09:41:00,余計に分かりますよね,Violet
ライラ,00:09:41:00,00:09:43:00,体幹トレーニングみたいな,Rose
石川,00:09:41:00,00:09:42:00,そういう,Violet
ライラ,00:09:44:00,00:09:46:00,左に寄ってたら右に寄るみたいな,Rose
石川,00:09:44:00,00:09:51:00,左に寄ってたら右に寄るみたいな そういう意味では ここはすごい全部フラットに作ってありますね,Violet
ライラ,00:09:52:00,00:10:03:00,結構東急さんも私たちもここに入る時に 色々インテリアとか考えてた時に すごいそこはすごい考えてましたね そうですか,Rose
石川,00:10:02:00,00:10:03:00,そうですか,Violet
ライラ,00:10:03:00,00:10:05:00,結構子連れの方も多いので,Rose
石川,00:10:05:00,00:10:06:00,なるほど,Violet
ライラ,00:10:06:00,00:10:14:00,なるほど そこも多分視野に入れてるんだろうな 家族で来るっていうことを結構視野に入れてたみたいで,Rose
石川,00:10:11:00,00:10:16:00,はいはいはい 歩きやすいというか動き回りやすいというかね,Violet
ライラ,00:10:17:00,00:10:20:00,子供も走っても大丈夫みたいな,Rose
石川,00:10:17:00,00:10:20:00,走っても多くの人が来るので,Violet
石川,00:10:23:00,00:10:27:00,いろいろ最先端 いろいろ最先端ですね,Violet
石川,00:10:33:00,00:10:41:00,極めて人工的に維持されている環境ですね 最新のテクノロジーで,Violet
石川,00:10:44:00,00:10:46:00,この土が,Violet
ライラ,00:10:45:00,00:10:48:00,石川さんが気づいてない私の知恵ってあるかなって,Rose
石川,00:10:47:00,00:10:54:00,土が白い人工軽量土壌ですね,Violet
石川,00:10:58:00,00:11:02:00,土って重いんで特に水やるとめっちゃ重くなるから,Violet
ライラ,00:11:03:00,00:11:06:00,お、膨張しちゃいますよねきっと,Rose
石川,00:11:04:00,00:11:21:00,膨張するというか水含むと重くなるんですよね 平米1トンとか余裕でなっちゃうので 建物の構造が大変だから なるべく軽くしたいので 人工軽量土壌という軽い土を使うんですよ,Violet
ライラ,00:11:25:00,00:11:29:00,やっぱランドスケープはそうやって重さとか考えるんですね,Rose
石川,00:11:30:00,00:11:40:00,建物と建築とコラボするときはやりますね 普通に地面に売るときは全然気にしなくてもいいんですけど やっぱりこういうところは,Violet
石川,00:11:43:00,00:11:52:00,植物が地面に生えているような木に なんないといけないので 建築とのコラボがそういう時に発生するんですよね,Violet
石川,00:12:04:00,00:12:06:00,いいですね 雪残ってるすごい,Violet
ライラ,00:12:07:00,00:12:12:00,なんかでもそれもこの形もいい なんか,Rose
