Speaker Name,イン点,アウト点,文字起こし,色選択
ライラ2,00:00:00:11,00:00:05:04,手放すスタンス。,Violet
ライラ2,00:00:05:06,00:00:17:23,何かいい意味そこ自己責任のよう。,Violet
ライラ2,00:00:18:00,00:00:19:11,な。,Violet
石川2,00:00:19:13,00:01:08:12,注意書きがものすごく増えましたね。,Violet
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_1
石川2,00:01:56:24,00:02:20:02,そうですね。いやね、その、それわかんないんだけど、やっぱりこの場に来てるのは全体のその。,Rose
石川2,00:02:20:04,00:02:30:16,すごいしょうもない言い方だけど、センスがいいというか、センス。,Rose
石川2,00:02:30:18,00:02:38:05,で、デザイン。,Rose
石川2,00:02:38:07,00:02:59:23,デザインされたものの水準をちゃんと把握しておくことの、その大事だなっていうことですよね。それには非常な基礎訓練。そういう。,Rose
石川2,00:03:00:00,00:03:17:18,読解力、表現力ってものがあって、それがあるからこそ、こう面白い人をその椅子というか、何かその実は。,Rose
石川2,00:03:17:20,00:03:32:21,さっき言ったようななんでもかんでもその取り入れて、その。ルールを広めたりすればいいよねっていうわけではないよねっていう話が。,Rose
石川2,00:03:32:23,00:03:37:21,デザインだと思いますね。そこ重要。,Rose
ライラ2,00:03:37:23,00:03:50:18,で、私は引き算ですねっていう要素はすごく引き算、引き算して、要素は何。,Rose
石川2,00:03:50:20,00:03:52:12,わかります、わかります。,Rose
ライラ2,00:03:52:12,00:04:00:05,と。そういう意味では編集能力とか。,Rose
ライラ2,00:04:00:07,00:04:05:02,すでにあるのが。,Rose
石川2,00:04:05:04,00:04:10:01,なるほどなるほどと。,Rose
ライラ2,00:04:10:03,00:04:18:22,頭だけ考えると頭。から作る。,Rose
ライラ2,00:04:18:23,00:04:22:01,手を動かしながらなんですけど。,Rose
石川2,00:04:22:03,00:04:31:10,イギリスのそういう子を指導さ。,Rose
石川2,00:04:31:12,00:04:36:06,なるほど。そのときにどうするかっていう。,Rose
ライラ2,00:04:36:08,00:04:43:24,つまらないものでした。,Rose
ライラ2,00:04:44:01,00:04:51:00,大事なんだけど、常に高校生。さっきもそういう。,Rose
ライラ2,00:04:51:02,00:04:54:01,瞬間があっ。,Rose
石川2,00:04:54:03,00:04:57:19,なるほどなるほど。,Rose
ライラ2,00:04:57:21,00:05:04:11,そこってすごい感性のある。,Rose
