Speaker Name,イン点,アウト点,文字起こし,色選択
石川,00:00:04:00,00:00:05:00,こんなちっちゃくなってる,Violet
ライラ,00:00:06:00,00:00:08:00,私の、その、職場が。,Rose
石川,00:00:09:00,00:00:11:00,ここ何ですか?それは便利,Violet
石川,00:00:39:00,00:00:48:00,何時ですか? 3月の頭 何時の? 夜8時から 夜8時? 平日の夜8時 すごい結構プライムタイムですよ,Violet
ライラ,00:00:50:00,00:00:53:00,ご飯作ってる時とか そう、ラジオだから聞きながらで,Rose
ライラ,00:00:57:00,00:00:58:00,なるほど,Rose
ライラ,00:01:28:00,00:01:29:00,生きるとは何か,Rose
ライラ,00:01:50:00,00:01:53:00,そういうところから した方がいいと思ってない,Rose
ライラ,00:02:04:00,00:02:36:00,ブーブー もう石川さんと私がどれくらいお互いを わかってるかですねねっ のののの事前情報ですか あの一応チラッとあのそれもやは ちょっと引っ掛けたいん いいですか あそっか見えてないですもんね見えてないからいいんだ,Rose
石川,00:02:39:00,00:02:49:00,目が上に持ってて。 はい。 収録ですよね、これしかもね。 収録です。なので、後で編集します。 編集は、編集は、編集があります。 変なこと言ったら、カットしてもらえるんだ。,Violet
ライラ,00:02:51:00,00:02:54:00,私大大変なこと言うの大丈夫です,Rose
石川,00:02:54:00,00:02:56:00,ああ それはありがたいです,Violet
ライラ,00:02:59:00,00:03:04:00,突然英語喋ったりするかもいい ん,Rose
石川,00:03:28:00,00:03:30:00,いきなり始まる感じですか?始まります。,Violet
ライラ,00:03:40:00,00:03:44:00,あっちから歩くとちょっと原宿見渡すし,Rose
石川,00:03:43:00,00:03:45:00,歩きながら?それはいいですね。,Violet
ライラ,00:03:46:00,00:03:50:00,ごめんなさい私イベント屋さんだからどうしても考えちゃう,Rose
石川,00:03:51:00,00:03:54:00,ああ その順番と流れよね組み立てを,Violet
ライラ,00:03:52:00,00:03:57:00,流れを ディレクター中瀬ですよね,Rose
石川,00:03:56:00,00:03:58:00,ああいやいいんじゃないですかいいと思いますが,Violet
石川,00:04:06:00,00:04:16:00,あそうですか うーん ここへ何毎日通っていらっしゃるんですか 甘いじゃないああ,Violet
ライラ,00:04:12:00,00:04:29:00,毎日ではないですけど、東京にいるときは週2〜3回くらい来てて ここの下がフードコートで、大体皆さんここまでエスカレーター来ないので、ここからみんな上がってくるっていう感じですね,Rose
石川,00:04:28:00,00:04:30:00,ええええええ、私はそうやって来ました,Violet
石川,00:04:42:00,00:04:44:00,こっち来たのは初めてなんですよね,Violet
ライラ,00:04:45:00,00:04:46:00,あそうなんですか?,Rose
石川,00:04:47:00,00:04:50:00,向こう側は何度も行ってたんですけどね,Violet
ライラ,00:04:50:00,00:04:51:00,おもかどうですか?,Rose
石川,00:04:50:00,00:04:53:00,なんかはいはい あちらの方が古いですよね,Violet
ライラ,00:04:54:00,00:04:59:00,こっちが多分 一昨年の4月オープンなんで,Rose
石川,00:04:58:00,00:04:59:00,そうですよね そうですよね,Violet
石川,00:05:07:00,00:05:08:00,来ないですね,Violet
ライラ,00:05:11:00,00:05:13:00,私も勤めるまでは来てないです。,Rose
石川,00:05:13:00,00:05:14:00,そうですかそうですか,Violet
ライラ,00:05:15:00,00:05:18:00,原宿に見合う人間だろうかみたいな。,Rose
石川,00:05:19:00,00:05:41:00,いやそういうそれはあれだけど 前大学に転職するまで職場が赤坂だったので 明治神宮前で乗り換えてたんでね その時はまあなんかちょくちょくではないですけど 立ち寄ることはありましたが 今はほとんど来る用事がないんでね,Violet
ライラ,00:05:41:00,00:05:46:00,確かに、居座る場所ではないですよね。 人が流れる場所ではある。,Rose
石川,00:05:45:00,00:05:57:00,そうですね そうですね でも今日 メイジング前で降りて ちょっとたまには来ないといけないなと思いましたね やっぱり,Violet
ライラ,00:05:57:00,00:05:58:00,何でですか?,Rose
石川,00:05:57:00,00:06:06:00,なんかその あの たまにこういう 原宿的な空気に触れないと,Violet
ライラ,00:06:07:00,00:06:13:00,刺激ですかねそうですよね結構 そうしないとルーティンに持っちゃいがち,Rose
石川,00:06:13:00,00:06:25:00,そうなんです。私、家が調布で、今職場が、湘南大って、 遠いんですけど。 田舎から田舎へ通ってるみたいな感じなんで。,Violet
ライラ,00:06:26:00,00:06:30:00,田舎から都会通って 田舎に 東海通んないですね。,Rose
石川,00:06:29:00,00:06:30:00,都会通んないですね。,Violet
ライラ,00:06:31:00,00:07:00:00,そっかそっか。それを触れないと。 私もそうですね。滋賀と東京都二拠点生活なので。 やっぱり東京で刺激を 出稼ぎって呼んでるんですけど。 お金だけじゃなくてアイディアとか 今どんなものが世の中やってるんだろうということを 含めて ちょっと刺激もらって滋賀会など,Rose
石川,00:06:57:00,00:07:01:00,それはいいですね。 ねー なるほどなるほどなるほど,Violet
ライラ,00:07:01:00,00:07:32:00,滋賀でまた自然でチャージして 持って帰ってくるっていう ここはどうですか 開いていきますここ結構快適ですねは多分 この後中に入っていくと思うんですけど中も結構抜き打ちだったりで開放的で一面ガラス窓で 結構 ありがたいことに広々とした 場所ではあるし やっぱりいろんな方が来るんで そことの会話とかもあったりして,Rose
石川,00:07:32:00,00:07:36:00,あー 俺はなんか,Violet
ライラ,00:07:39:00,00:07:40:00,ブラブラできるからいいんですよ,Rose
石川,00:07:40:00,00:07:52:00,はいはいはい そうでしょうね 仕事柄つい色々こう植物やら 土どうなっているのかなとか 水やりどうしているのかなとか,Violet
ライラ,00:07:53:00,00:08:02:00,水はこの配置となってここですね水のパイプですね多分 パイプでちょっと隠しきれてないこれはねこれ,Rose
石川,00:07:53:00,00:08:31:00,床の排水どうなっているのかなとか そんなことばっか見ちゃって全然落ち着いてられないんですよね これとこ来ると これはね これで人工乾水ですね タイマーだと思います タイマーで水圧がかかって ここで止まってるじゃないですか 途中にポツポツ穴が開いてて 水やりをするんですよ自動的に そうしないと乾いちゃうから こういうところは植物の根が張るんで 乳が必要なんですよと熱くなってるんですよね それローズマリーですね,Violet
