Filename;Speaker;Start Timestamp;End Timestamp;Transcript
A_00003_Wireless_PRO;Speaker 1;00:00;00:02;"もう手放してるからっていうスタンス なるほど"
A_00003_Wireless_PRO;Speaker 1;00:04;00:07;"なので なんかいい意味でそこ"
A_00003_Wireless_PRO;Speaker 1;00:09;00:18;"自己責任の余地をちゃんと分かり合っているというか まあいいこともあれば悪いこともありますけど確かに洗濯機の中に入れなくても"
A_00003_Wireless_PRO;Speaker 2;00:19;00:21;"注意書きはものすごく増えましたね"
A_00003_Wireless_PRO;Speaker 1;00:21;00:25;"ちょっと思います"
A_00003_Wireless_PRO;Speaker 3;00:31;00:31;"ありがとうございます"
A_00003_Wireless_PRO;Speaker 3;00:33;00:35;"また洗濯機の話もめちゃめちゃ面白かったので"
A_00003_Wireless_PRO;Speaker 3;00:36;00:37;"ついに終わってしまいましたが"
A_00003_Wireless_PRO;Speaker 3;00:41;00:45;"今日ほぼトークのまとめでもいいかなと思ってたんですけど"
A_00003_Wireless_PRO;Speaker 3;00:48;00:49;"デザインっていうのが"
A_00003_Wireless_PRO;Speaker 3;00:50;00:51;"ゆっかりデザインする"
A_00003_Wireless_PRO;Speaker 3;00:51;00:54;"最初の雪を見ながらでもありましたけど"
A_00003_Wireless_PRO;Speaker 3;00:54;00:58;"そこまでいくと、なんですかね、デザイン道みたいな感じというか"
A_00003_Wireless_PRO;Speaker 3;00:59;00:59;"デザイン道"
A_00003_Wireless_PRO;Speaker 3;00:59;01:03;"呼吸のような感じもする、道、道"
A_00003_Wireless_PRO;Speaker 3;01:03;01:11;"道的な感じがするというか、一方で言語化する、デザインって見えるようにするというか"
A_00003_Wireless_PRO;Speaker 3;01:13;01:16;"こういうことを考えている人がいるからこういう形に落とし込もうみたいな話とか"
A_00003_Wireless_PRO;Speaker 3;01:17;01:20;"ランドスケープも、こんなこともあるかもしれないですけど"
A_00003_Wireless_PRO;Speaker 3;01:20;01:25;"なんかうまく今ないけど見えるようにするというか"
A_00003_Wireless_PRO;Speaker 3;01:26;01:27;"なんでしょうね"
A_00003_Wireless_PRO;Speaker 3;01:28;01:30;"やっぱり共通理解のためのものというか"
A_00003_Wireless_PRO;Speaker 3;01:32;01:34;"なんかそんな感じもしたんですが"
A_00003_Wireless_PRO;Speaker 3;01:35;01:36;"したんですが"
A_00003_Wireless_PRO;Speaker 3;01:36;01:39;"すいません話がちょっと抽象的になってきてしまいましたけど"
A_00003_Wireless_PRO;Speaker 3;01:40;01:45;"なんでもかんでも見えるようにすりゃいいっていうもんでもないのかなっていう方で思うというか"
A_00003_Wireless_PRO;Speaker 3;01:48;01:50;"この辺はどうでしょうか"
A_00003_Wireless_PRO;Speaker 1;01:50;01:53;"何を言ってるのかごめんわからないんだけど"
A_00003_Wireless_PRO;Speaker 1;01:54;01:55;"質問が難しすぎると"
A_00003_Wireless_PRO;Speaker 2;01:57;01:57;"そうですね"
A_00003_Wireless_PRO;Speaker 2;01:58;01:59;"いやあのね"
A_00003_Wireless_PRO;Speaker 2;02:01;02:04;"それに対する答えなのかどうか分からないけど"
A_00003_Wireless_PRO;Speaker 2;02:05;02:06;"でも引き算んだけどな"
A_00003_Wireless_PRO;Speaker 2;02:06;02:11;"やっぱりこの場にこの空間に入って最初に思ったのは"
A_00003_Wireless_PRO;Speaker 2;02:11;02:14;"すごいなんかこう全体のなんかその"
A_00003_Wireless_PRO;Speaker 2;02:14;02:16;"やっぱりこう"
A_00003_Wireless_PRO;Speaker 2;02:18;02:18;"なんていうんだろう"
A_00003_Wireless_PRO;Speaker 2;02:20;02:22;"すごいしょうもない言い方だけど"
A_00003_Wireless_PRO;Speaker 2;02:22;02:23;"センスがいいというか"
A_00003_Wireless_PRO;Speaker 2;02:24;02:24;"要するにその"
A_00003_Wireless_PRO;Speaker 2;02:30;02:31;"デザイン"
A_00003_Wireless_PRO;Speaker 2;02:38;02:39;"デザインされた"
A_00003_Wireless_PRO;Speaker 2;02:40;02:42;"空間や物の"
A_00003_Wireless_PRO;Speaker 2;02:42;02:43;"水準を"
A_00003_Wireless_PRO;Speaker 2;02:44;02:46;"ちゃんと高くしておくということの"
A_00003_Wireless_PRO;Speaker 2;02:48;02:50;"大事だなっていうことですよね"
A_00003_Wireless_PRO;Speaker 2;02:50;02:52;"それには非常なやっぱり"
A_00003_Wireless_PRO;Speaker 2;02:53;02:54;"基礎的な訓練とか"
A_00003_Wireless_PRO;Speaker 2;02:55;02:55;"それから"
A_00003_Wireless_PRO;Speaker 2;02:57;02:58;"デザイナーとしての"
A_00003_Wireless_PRO;Speaker 2;02:59;03:00;"読解力とかね"
A_00003_Wireless_PRO;Speaker 2;03:01;03:03;"表現力みたいなものがあって"
A_00003_Wireless_PRO;Speaker 2;03:03;03:04;"それがあるからこそ"
A_00003_Wireless_PRO;Speaker 2;03:05;03:05;"なんかこう"
A_00003_Wireless_PRO;Speaker 2;03:07;03:08;"面白い人を"
A_00003_Wireless_PRO;Speaker 2;03:09;03:11;"アーティストとしてきちんと扱えるというか"
A_00003_Wireless_PRO;Speaker 2;03:13;03:16;"そこって実は"
A_00003_Wireless_PRO;Speaker 2;03:16;03:22;"多分さっきおっしゃったような何でもかんでも取り入れて"
A_00003_Wireless_PRO;Speaker 2;03:26;03:30;"ルールの幅を広げさえすればいいよねっていうわけではないよねっていうのは"
A_00003_Wireless_PRO;Speaker 2;03:32;03:34;"ちゃんとデザインされているからだと思いますね"
A_00003_Wireless_PRO;Speaker 2;03:36;03:36;"そこ重要"
A_00003_Wireless_PRO;Speaker 1;03:37;03:40;"結構私は引き算が多いですね"
A_00003_Wireless_PRO;Speaker 1;03:40;03:49;"バーって集めて要素を集めてからこう 引き算引き算していって重要要素は何なんだろうっていうのを"
