Filename;Speaker;Start Timestamp;End Timestamp;Transcript
B_00002_Wireless_PRO;Speaker 1;00:00;00:01;"こんなちっちゃくなってる"
B_00002_Wireless_PRO;Speaker 1;00:05;00:07;"ここ何ですか?それは便利"
B_00002_Wireless_PRO;Speaker 2;00:16;00:19;"バイクつけてる間に簡単に説明しますと"
B_00002_Wireless_PRO;Speaker 2;00:20;00:23;"DHKの地上波で50分間"
B_00002_Wireless_PRO;Speaker 2;00:25;00:26;"雑談が流れるという"
B_00002_Wireless_PRO;Speaker 2;00:26;00:30;"という結構リラックスした番組の割には攻めた企画でして"
B_00002_Wireless_PRO;Speaker 2;00:30;00:34;"結構レギュラーでも毎月2本やらせてもらってるんですけど"
B_00002_Wireless_PRO;Speaker 1;00:35;00:36;"何時ですか?"
B_00002_Wireless_PRO;Speaker 1;00:36;00:37;"3月の頭"
B_00002_Wireless_PRO;Speaker 1;00:37;00:38;"何時の?"
B_00002_Wireless_PRO;Speaker 1;00:38;00:39;"夜8時から"
B_00002_Wireless_PRO;Speaker 1;00:39;00:40;"夜8時?"
B_00002_Wireless_PRO;Speaker 1;00:40;00:42;"平日の夜8時"
B_00002_Wireless_PRO;Speaker 1;00:43;00:44;"すごい結構プライムタイムですよ"
B_00002_Wireless_PRO;Speaker 2;00:44;00:47;"男子人や番組でもご飯作らないんですけど"
B_00002_Wireless_PRO;Speaker 3;00:47;00:50;"ながらで聞いてもらう"
B_00002_Wireless_PRO;Speaker 2;00:55;00:55;"で"
B_00002_Wireless_PRO;Speaker 2;00:56;01:00;"アカデミックな方に出てもらうことが多いんですけど"
B_00002_Wireless_PRO;Speaker 2;01:01;01:07;"とはいえ、2人でハイスパートにハードコアなハードトークをするっていうよりは"
B_00002_Wireless_PRO;Speaker 2;01:07;01:13;"今日なんかは特に公演でやってますので、目に見えるものみたいなところから"
B_00002_Wireless_PRO;Speaker 2;01:13;01:18;"雑談から始まって、だんだん番組の後半だとちょっと深い話を聞いてもいいかなと"
B_00002_Wireless_PRO;Speaker 2;01:19;01:23;"いうぐらいのボリュームというか、ファナンスパートでやってもらってます"
B_00002_Wireless_PRO;Speaker 2;01:24;01:25;"生きるとは何か"
B_00002_Wireless_PRO;Speaker 2;01:25;01:26;"それは深いな"
B_00002_Wireless_PRO;Speaker 2;01:29;01:29;"でも"
B_00002_Wireless_PRO;Speaker 2;01:32;01:36;"お二人の専門領域の関心の部分でいうところの"
B_00002_Wireless_PRO;Speaker 2;01:36;01:39;"今こんなこと考えてますみたいな話があっても全然いい"
B_00002_Wireless_PRO;Speaker 2;01:40;01:41;"でもあんまり気にせず"
B_00002_Wireless_PRO;Speaker 2;01:42;01:43;"目につくので"
B_00002_Wireless_PRO;Speaker 2;01:43;01:44;"今日せっかく同じく"
B_00002_Wireless_PRO;Speaker 2;01:46;01:47;"そういうところから"
B_00002_Wireless_PRO;Speaker 3;01:48;01:49;"そうですね"
B_00002_Wireless_PRO;Speaker 3;01:50;01:51;"せっかくなので"
B_00002_Wireless_PRO;Speaker 3;02:21;02:21;"お話し"
B_00002_Wireless_PRO;Speaker 3;02:22;02:23;"ちょっと、引っ掛けて。"
B_00002_Wireless_PRO;Speaker 4;02:23;02:23;"うん。"
B_00002_Wireless_PRO;Speaker 4;02:25;02:27;"そこが、そこが、そのハラハラするというか、"
B_00002_Wireless_PRO;Speaker 4;02:28;02:29;"アリルがあっていいなと。"
B_00002_Wireless_PRO;Speaker 4;02:29;02:29;"ちょっと、見えてないです。"
B_00002_Wireless_PRO;Speaker 4;02:31;02:32;"見えてないからいいんだ。"
B_00002_Wireless_PRO;Speaker 4;02:33;02:35;"そうそう、ラジオなんで全然見えないので、"
