色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
,00:00:08:09,00:00:14:22,D1,,,がある。
,00:00:15:00,00:00:18:18,D1,,,という声もありまして。
,00:00:18:20,00:00:35:10,D1,,,量の取りようがないというか、こういう感じで。
,00:00:35:12,00:01:00:05,D1,,,そうしますと、5万円ぐらいにして。
,00:01:00:07,00:01:10:08,D1,,,3。
,00:01:10:10,00:01:14:10,D1,,,10。
,00:01:14:12,00:01:19:10,D1,,,8話という感じで。
,00:01:19:12,00:01:26:10,D1,,,あんまりこう話かける。
,00:01:26:12,00:01:32:05,D1,,,年数も。
,00:01:32:07,00:01:38:01,D1,,,それはそれの中でも、もう少し。
,00:01:38:03,00:01:49:18,D1,,,かってところにも話が。
,00:01:49:20,00:02:17:03,D1,,,本当にそうです。
,00:02:17:05,00:02:25:20,D1,,,かと思いますけどね。ぐらいありますが。
,00:02:25:22,00:02:32:23,D1,,,本当に。
,00:02:33:01,00:02:37:03,D1,,,ですね。
,00:02:37:05,00:02:45:13,D1,,,右側に座ってらっしゃるので右上に。
,00:02:45:15,00:02:57:18,D1,,,ここで。
,00:02:57:20,00:03:14:05,D1,,,そういう感じ。
,00:03:14:07,00:03:21:17,D1,,,で。だけれども、感情というもの。
,00:03:21:19,00:03:24:18,吉田1,,忘れても大丈夫ですね,
,00:03:24:19,00:03:27:23,D1,,,ですね。
,00:03:28:01,00:03:30:23,山田1,私そんな政治とか語れないので,,
,00:03:31:01,00:03:43:00,D1,,,その辺のは一方で。
,00:03:43:02,00:03:48:06,山田1,すみませんありがとうございます 恐縮です すみません恥ずかしい,,
,00:03:48:07,00:03:49:04,吉田1,,面白かったです ありがとうございます,
,00:03:49:06,00:03:56:18,山田1,ありがとうございます 私も先生のいろいろ心書とか はい、通り要素で。今日ちょっと持ってきてないんですけど。,,
,00:03:56:20,00:04:03:16,D1,,,はもちろん。
,00:04:03:18,00:04:06:16,山田1,はい、わかりました。 よくちゃんと読んだら。,,
,00:04:06:18,00:04:10:15,吉田1,,陽子ちゃんとか呼んだら送らればいい いいですよ 全然大丈夫です,
,00:04:10:17,00:04:58:02,山田1,どうしたらどういう関係性なのかも。 聞いてる人は本読んでないので あの本で書いてあったようにみたいな感じは 少しパラフレーズしていただけると 何か喋っていいですか テストテスト 大事もそうですね 雑音とか選挙かはいませんが そういうのがあったらそこは止めて しゃべり直すって感じになっていると思いますけど じゃあ始めていただいて,,
,00:04:58:04,00:05:01:05,D1,,,はいはい。
,00:05:01:06,00:05:09:16,吉田1,,どこから始めたらいいのかね 難しいですけど 大阪来ていつも思うんですけど建物大きいですよね,
,00:05:09:18,00:05:16:00,吉田1,,大阪来ていつも思うんですけど建物大きいですよね 東京とかと比べて 横に大きいんですかね,
,00:05:16:02,00:05:16:22,山田1,大きいんですかね？,,
,00:05:16:22,00:05:34:02,吉田1,,そうですね縦というより横に大きい サイズ感が東京よりも一つ大きいなっていうのをいつも感じるし 建物もすごい個性豊かな感じが東京と比べていつも感じるんですよね 超高層ビルって感じじゃないですね,
,00:05:34:04,00:05:39:09,山田1,超高層ビルって感じじゃないですね、この辺にあるのが,,
,00:05:39:11,00:05:42:23,吉田1,,古い大伐系のもあれば,
,00:05:43:01,00:05:49:18,吉田1,,あのビルなんてすごく立派じゃないですか すごくたまに変な建物もありますよね,
,00:05:49:19,00:05:56:19,吉田1,,すごくたまに変な建物もありますよね 大阪って個性豊かな お城の形したやつとかあって,
,00:05:56:21,00:06:07:23,吉田1,,お城の形したやつとかあって すごくアナーキーな感じが 大阪の街ってするなっていつも思うんです この辺りは比較的大人しいというか,
,00:06:08:00,00:06:14:14,山田1,このあたりは比較的おとなしいというか 落ち着いたエリアですかね そうですね,,
,00:06:14:16,00:06:23:01,吉田1,,ビジネス街ですよね 東京と比べるともっとアジアっぽいというか 確かにそれはそう思いますね,
,00:06:23:03,00:06:27:23,山田1,確かにそれはそう思います,,
,00:06:28:01,00:06:31:21,山田1,大阪の中でも北と南だと全然違うなと思っていて,,
