Filename;Speaker;Start Timestamp;End Timestamp;Transcript
00099_Bmic2;Speaker 1;00:00;00:03;"とか 特にジャズドラマーとかだとねやっぱりすごい"
00099_Bmic2;Speaker 1;00:03;00:04;"いいドラムたたいたりとか"
00099_Bmic2;Speaker 1;00:07;00:09;"味になりますね"
00099_Bmic2;Speaker 1;00:16;00:18;"バイクに乗るそれはしてください"
00099_Bmic2;Speaker 2;00:24;00:25;"面白いですね"
00099_Bmic2;Speaker 2;00:26;00:28;"人生の中でリッターマシンにしてから"
00099_Bmic2;Speaker 2;00:28;00:30;"小さくしたいサイズダウンしたい"
00099_Bmic2;Speaker 2;00:32;00:34;"みんなでやっぱり高齢になると"
00099_Bmic2;Speaker 2;00:35;00:38;"リッターマシン使われるからって読めるんですよね"
00099_Bmic2;Speaker 2;00:39;00:41;"そのうちリッターマシンしようとか"
00099_Bmic2;Speaker 2;00:41;00:42;"いう話をしてたら"
00099_Bmic2;Speaker 2;00:43;00:44;"知り合いのメカニックの方に"
00099_Bmic2;Speaker 2;00:45;00:48;"いやもうここ数年以内に変えてください"
00099_Bmic2;Speaker 2;00:48;00:50;"そうじゃないともう体力的に無理ですよって"
00099_Bmic2;Speaker 2;00:51;00:56;"もうなんかフィジカルに沿ってエイジングの影響があるから"
00099_Bmic2;Speaker 2;00:56;00:58;"変えた方がいいんじゃないって言われた"
00099_Bmic2;Speaker 2;00:59;01:00;"ショックを受けて"
00099_Bmic2;Speaker 1;01:01;01:03;"どこにフィジカルの影響があるんですか?"
00099_Bmic2;Speaker 2;01:03;01:05;"あれすごい身体運動"
00099_Bmic2;Speaker 2;01:05;01:08;"速度と力がものすごいかかるので"
00099_Bmic2;Speaker 2;01:08;01:10;"あとやっぱり速さですかね"
00099_Bmic2;Speaker 2;01:10;01:11;"速さ?こうね"
00099_Bmic2;Speaker 2;01:12;01:14;"スピードも良くないといけないし"
00099_Bmic2;Speaker 2;01:14;01:16;"レスポンスも速くないといけないし"
00099_Bmic2;Speaker 2;01:16;01:23;"ものすごいやっぱカーブとかでマシンのパワーとバランスできないといけないみたいな"
00099_Bmic2;Speaker 1;01:25;01:25;"なるほど"
00099_Bmic2;Speaker 2;01:25;01:26;"だからすごい筋肉痛になるんですよ"
00099_Bmic2;Speaker 1;01:27;01:28;"筋肉痛なるぐらいですか"
00099_Bmic2;Speaker 1;01:28;01:29;"あらなそうですか"
00099_Bmic2;Speaker 2;01:30;01:32;"いわゆる小さいスクーターだとならないんですけど"
