Speaker Name,イン点,アウト点,文字起こし,色選択
相馬,00:00:02:58,00:00:07:46,とか 特にジャズドラマーとかだとねやっぱりすごい いいドラムたたいたりとか 味になる?それいい話ですね 味になりますね 味になりますね 私、あれなんですよ、バイクを…私バイクに乗るって話しましたっけ?,Violet
相馬2,00:00:07:51,00:00:09:52,味になる。,Lavender
藤井,00:00:09:57,00:00:13:35,バイクに乗るそれはしてください,Rose
相馬,00:00:13:39,00:00:18:40,いや、いいんですけど、バイク今800セーシーなんですよ で、人生の中でリッターマシンにしてから小さくしたい、サイズダウンしたいんですよね。 みんなでやっぱり、高齢になると皆さん、リッターマシン使われるからってやめるんですよね。 だから、そのうちリッターマシンしようとかいう話をしてたら、知り合いのメカニックの方に、 「いや、もうここ数年以内に変えてください。そうじゃないともう体力的に無理ですよ」って通告されて、 もうなんかお前はもうフィジカルにそろそろエイジングの影響があるから 変えた方がいいんじゃないって言われたしショックを受けて,Violet
藤井2,00:00:18:45,00:00:29:10,バイクに乗る。それを。 面白いですね。,Lavender
相馬2,00:00:29:15,00:00:47:16,楽しみにしてくれ。 高齢になる。,Lavender
藤井,00:00:47:21,00:00:57:52,どこにフィジカルの影響があるんですか?,Rose
話者 3,00:00:57:57,00:00:59:54,ね。,Lavender
相馬,00:00:59:58,00:01:01:12,あれすごい身体運動、速度と力がものすごいかかるので あとやっぱり速さですかね 速さ?こうね スピード、目も良くないといけないし レスポンスも速くないといけないし あとものすごいやっぱカーブとかで 力、マシンのパワーとバランスできないといけないみたいなのがあるので,Violet
相馬2,00:01:01:17,00:01:02:20,ショックを受けて。,Lavender
話者 3,00:01:02:20,00:01:03:20,ね。,Lavender
藤井2,00:01:03:25,00:01:05:55,どこにこう見ある？,Lavender
相馬2,00:01:06:06,00:01:09:54,すごい身体。,Lavender
藤井2,00:01:09:59,00:01:13:36,なるほどね。 早く子。,Lavender
相馬,00:01:13:47,00:01:36:31,なるほど だからすごい筋肉痛になるんですよ 筋肉痛なるぐらいですか あらなそうですか そうですそうです いわゆるちっちゃいスクーターだとならないんですけど マシンがパワーがあれば自分は筋肉痛になるんですけど それを覚えながらだからじゃあ カレーの影響ね でもドラマを叩くっていうのは エイジングも味になるって聞いて 私それいいなと思いました,Violet
藤井,00:01:36:36,00:01:56:08,いやでもねさっきのロックみたいな激しいことやってると 結構その影響はやっぱり大きくて あれですよね、額の血管切れそうな感じで叩く人っていますよね そういうスタイルだとやっぱりね 過励の影響によりなんかなかなか難しくなってくる 筋トレってするんですか? 筋トレはね難しい質問で やっぱりねああいう特にロックのステージを 何時間もやるってなると体は資本なんで やっぱりでもそれいろんな意味があると思うんですよね 演奏に直結もしますね 経験上やっぱりちゃんとフィジカルにやってる方が でも例えば極端なし重量を上げる時の筋の使い方と スティック叩く時の筋の使い方は全然別なんで,Rose
藤井2,00:01:56:13,00:02:02:01,そうだ。そういうスタイルがやっぱりね。彼の影響により何か難しくなっ。,Lavender
相馬2,00:02:02:12,00:02:03:58,てするんですかね。,Lavender
藤井,00:02:04:03,00:02:32:15,だからあんまり、すごいボディビルダーみたいな体っていうのはまた違うんですよね。 はいだからでも体格とかが全部影響してドラムの音が鳴るので やっぱりそのなぜかでかい体から紡ぎ出されるとまぁさっきの音色自体も変わりますし スタイルも全然変わるんで,Rose
相馬2,00:02:32:20,00:02:38:12,とかすごいな体っていうのも違うんです。,Lavender
藤井2,00:02:38:17,00:02:40:42,だから。,Lavender
藤井,00:02:40:46,00:02:56:14,ドラマってやっぱり男性の方が多いんですか?そういう意味では。 いやーどうなんですか統計的にはちょっと私把握しないですけど 統計的にはちょっと… 感覚的にはどうですかねでもまぁ最近女性のドラマもすごい多いんで,Rose
相馬,00:02:56:19,00:02:59:32,最近のペ,Violet
相馬2,00:02:59:36,00:03:02:58,キッチン。,Lavender
藤井,00:03:03:02,00:03:18:10,素敵なね また声が聞こえた どこですかね,Rose
