Speaker Name,イン点,アウト点,文字起こし,色選択
藤井,00:00:00:00,00:00:04:00,とか 特にジャズドラマーとかだとねやっぱりすごい いいドラムたたいたりとか,Rose
相馬,00:00:07:00,00:00:09:00,味になる?それいい話ですね,Violet
藤井,00:00:07:00,00:00:09:00,味になりますね,Rose
相馬,00:00:09:00,00:00:18:00,味になりますね 私、あれなんですよ、バイクを…私バイクに乗るって話しましたっけ?,Violet
藤井,00:00:16:00,00:00:18:00,バイクに乗るそれはしてください,Rose
相馬,00:00:21:00,00:01:01:00,いや、いいんですけど、バイク今800セーシーなんですよ で、人生の中でリッターマシンにしてから小さくしたい、サイズダウンしたいんですよね。 みんなでやっぱり、高齢になると皆さん、リッターマシン使われるからってやめるんですよね。 だから、そのうちリッターマシンしようとかいう話をしてたら、知り合いのメカニックの方に、 「いや、もうここ数年以内に変えてください。そうじゃないともう体力的に無理ですよ」って通告されて、 もうなんかお前はもうフィジカルにそろそろエイジングの影響があるから 変えた方がいいんじゃないって言われたしショックを受けて,Violet
藤井,00:01:01:00,00:01:03:00,どこにフィジカルの影響があるんですか?,Rose
相馬,00:01:05:00,00:01:26:00,あれすごい身体運動、速度と力がものすごいかかるので あとやっぱり速さですかね 速さ?こうね スピード、目も良くないといけないし レスポンスも速くないといけないし あとものすごいやっぱカーブとかで 力、マシンのパワーとバランスできないといけないみたいなのがあるので,Violet
藤井,00:01:25:00,00:01:26:00,なるほど,Rose
相馬,00:01:27:00,00:01:28:00,だからすごい筋肉痛になるんですよ,Violet
藤井,00:01:27:00,00:01:29:00,筋肉痛なるぐらいですか あらなそうですか,Rose
相馬,00:01:30:00,00:01:39:00,そうですそうです いわゆるちっちゃいスクーターだとならないんですけど マシンがパワーがあれば自分は筋肉痛になるんですけど それを覚えながらだからじゃあ,Violet
藤井,00:01:38:00,00:01:39:00,カレーの影響ね,Rose
相馬,00:01:40:00,00:01:47:00,でもドラマを叩くっていうのは エイジングも味になるって聞いて 私それいいなと思いました,Violet
藤井,00:01:45:00,00:01:51:00,いやでもねさっきのロックみたいな激しいことやってると 結構その影響はやっぱり大きくて,Rose
相馬,00:01:53:00,00:01:57:00,あれですよね、額の血管切れそうな感じで叩く人っていますよね,Violet
藤井,00:01:54:00,00:01:59:00,そういうスタイルだとやっぱりね 過励の影響によりなんかなかなか難しくなってくる,Rose
相馬,00:02:01:00,00:02:02:00,筋トレってするんですか?,Violet
