"Speaker Name","Start Time","End Time","Text"
"話者 1","13:07:18:18","13:07:44:12","僕。"
"大坪1","13:07:44:14","13:08:08:06","いいんですよね。トマトとゴーヤ。トマト単体で調査しやすい。イエメンでのコーヒーの調査もちょっとやってたので、その繋がりで日本で、沖縄でコーヒーの調査ができればな。沖縄も行ったことがなかったので。そうなんです、それ。それでこれだけの頃ですね。"
"大坪1","13:08:08:08","13:08:32:00","コロナで海外行けないな、日本で何かできないかなという時に、沖縄なら航空2杯、どっちかこっちから出た方が多分大丈夫。"
"話者 1","13:08:32:02","13:08:39:14","一方で嗜好品ってともかく。"
"話者 1","13:08:39:16","13:08:42:03","趣味のものだから。"
"しんめい1!","13:08:42:05","13:08:43:24","価格は結構いいん。"
"話者 1","13:08:44:01","13:08:47:19","じゃないですか。"
"大坪1","13:08:47:21","13:09:18:14","その辺はどうでも安安いものありますよね。GOOGLE翻訳で嗜好品って英語に変換するとラグジュアリーグッズとかって贅沢になっちゃうんですよね。なんですけど、贅沢品でもいい。タバコだって昔は趣味吸ってたし、お酒も安いものもあるから。私はイメージとしてそんなに高級品っていうイメージじゃないんですが、ただ高級なものもありますよね。"
"大坪1","13:09:18:16","13:09:32:15","ワインとかだって1本いくらとかすごいのもあるし。でも安いのもあるので色々それぞれの懐具合に合わせて楽しめるといいなって思うんですが。"
"話者 1","13:09:32:17","13:09:46:16","そうですね。"
"話者 1","13:09:46:18","13:09:55:09","そうか。"
"大坪1","13:09:55:11","13:10:02:15","階段出口は出る。"
"大坪1","13:10:02:17","13:10:06:05","待ち合わせがめんどくさいとこですからね。"
"話者 1","13:10:06:07","13:10:08:00","結構変わった。"
"大坪1","13:10:08:02","13:10:12:09","すごい変わってますよね。人は。"
"大坪1","13:10:12:11","13:10:18:13","もう違い別物ですよね。"
"大坪1","13:10:18:15","13:10:19:19","そうです。"
"しんめい1!","13:10:19:21","13:10:23:14","全然ピンとこないんです。"
"大坪1","13:10:23:16","13:10:29:03","なんせ口なんて何物だ？って感じですしね。"
"大坪1","13:10:29:05","13:10:47:07","そうそうそう。私でも小田急線に住んでいるのでそうなんです。なので、なんとなくは変わって使わててるなっていうのは、何か気配を感じ。"
"大坪1","13:10:47:09","13:10:58:01","ていればですね、なる。"
"しんめい1!","13:10:58:03","13:11:01:20","だけ。"
"大坪1","13:11:01:22","13:11:06:12","ああ、そうなんですか。そう。どうぞ。"
"しんめい1!","13:11:06:14","13:11:08:11","お待たせして申し訳ありませんでした。"
"大坪1","13:11:08:13","13:11:23:08","そうですします。多分通り過ぎそうだったんですけど、なかなか微妙な待ち合わせの超難しいです。"
"大坪1","13:11:23:10","13:11:23:17","か。"
"しんめい1!","13:11:23:17","13:11:27:19","これぐらいの荷物だったら。"
"大坪1","13:11:27:21","13:11:32:20","昨日からいらしてたんです。今日の今日ちょっと何か傘があるので。"
"しんめい1!","13:11:32:22","13:11:34:00","今日の夜。"
"大坪1","13:11:34:02","13:11:39:14","ちょっと降りますよね。そうそうそう、この間すいません。"
