"Speaker Name","Start Time","End Time","Text"
"D1!","13:07:21:11","13:07:57:13","大友さんの記事読んだのが嗜好頻度。オウンドメディアみたいな感じだったんですけどだったような気がするんですけど、やっぱり嗜好品みたいなものにちょっと興味があるわけなんですかね。"
"大坪1!","13:07:57:15","13:08:00:16","日本で。"
"D1!","13:08:00:18","13:08:29:17","見たことがなかったので。"
"D1!","13:08:29:19","13:08:32:16","なるほど。"
"D1!","13:08:32:18","13:08:47:19","一方で嗜好品ってのはともかく、コーヒーとかになるともう結構高級品というわりと趣味のものだから、価格は結構いい値段ついちゃうじゃないですか。"
"D1!","13:08:47:21","13:08:48:22","その辺は何。"
"大坪1!","13:08:48:22","13:08:50:03","かそっち。"
"D1!","13:08:50:05","13:08:55:02","側への意識というか。"
"D1!","13:08:55:04","13:09:00:11","なるほど。"
"大坪1!","13:09:00:13","13:09:03:07","ラグジュアリーそう。"
"D1!","13:09:03:09","13:09:10:11","そのイメージ。"
"大坪1!","13:09:10:13","13:09:15:21","とか、そんなに高級品。"
"大坪1!","13:09:15:23","13:09:26:13","の高級なものもあります。"
"大坪1!","13:09:26:15","13:09:29:17","ていて。"
"大坪1!","13:09:29:19","13:09:33:12","いいなって。"
"大坪1!","13:09:33:14","13:10:05:07","なるほど。"
"D1!","13:10:05:09","13:10:07:10","下北は結構変わった。"
"大坪1!","13:10:07:10","13:10:08:24","のですごいかもしれ。"
"D1!","13:10:08:24","13:10:13:09","ませんが、知ってる人は。"
"大坪1!","13:10:13:11","13:10:16:03","違う、別物ですよね。"
"D1!","13:10:16:05","13:10:23:14","要は小田急が地下に潜った段階で全然ピンとこなくなっちゃうと思うんです。"
"大坪1!","13:10:23:16","13:10:26:11","なんせ口の中は日本が。"
"D1!","13:10:26:13","13:10:33:02","そうですよね。そうですね、ありましたっけというか、そう。"
"不明","13:10:33:04","13:10:36:05","小田急です。"
"不明","13:10:36:07","13:10:39:12","そうなんです。"
"不明","13:10:39:14","13:10:45:17","なんとなくは。"
"不明","13:10:45:19","13:10:53:01","確かに変化をしていた。"
"D1!","13:10:53:03","13:10:56:04","前回。"
"D1!","13:10:56:06","13:11:09:04","終わりくらいでちょっとだけロケハンで歩いたんですけど。"
"D1!","13:11:09:06","13:11:12:15","よろしくお願いします。あとちょっとつけちゃいましょうか。"
"しんめい1","13:11:12:17","13:11:13:13","お二人を尻目。"
"D1!","13:11:13:13","13:11:13:24","に。"
"しんめい1","13:11:14:01","13:11:15:04","取引先。"
"大坪1!","13:11:15:04","13:11:16:11","を探してるんです。"
"D1!","13:11:16:13","13:11:18:22","けど、大丈夫ですね。"
"しんめい1","13:11:18:24","13:11:21:02","結局ロッカーも何か見つけられず。"
"D1!","13:11:21:02","13:11:23:14","あ、そうですか。"
"しんめい1","13:11:23:16","13:11:26:11","これぐらいの荷物だったら見つけながらて。"
"D1!","13:11:26:11","13:11:32:19","いいですかね？今日、今日ちょっと。"
"しんめい1","13:11:32:21","13:11:35:05","今日の夜、もしかしたら降るかもみたいな。"
"D1!","13:11:35:06","13:11:45:21","話をするかも。"
