"Speaker Name","Start Time","End Time","Text"
"大坪2","00;00;05;48","00;00;11;56","音楽聴いて、本読んで、漫画読んで。"
"しんめい2","00;00;12;01","00;00;14;27","音楽はどんな音楽されてたんですか？"
"大坪2","00;00;14;32","00;00;15;15","そんな話し。"
"しんめい2","00;00;15;15","00;00;27;34","ませ。"
"D2","00;00;27;39","00;00;30;09","イエメンの人たちはこんな話をしている。"
"大坪2","00;00;30;14","00;00;50;00","ああそうだそうだ。そうですね。それがですね、小寺さんから話をされてからずっと記憶をたどっているんですけれども、本当に大した話はしてないんです。記憶に残ってないんですよね、あれですけれども、本当に同じようなメンバーで会うので、昨日の話の続きを普通に始めるわけです。"
"大坪2","00;00;50;04","00;01;23;19","あるいはテレビを見ながら、ニュースを聞きながらドラマをやるので、何の話をしたかって全然覚えてなくて。外国人がいると、例えば日本の仏教ってどういう宗教なの？とかっていうのを聞かれたり、そこから発展して神学っぽい話になったりしますけれど、普段からそんなガチで真面目な議論をバリバリするわけではなくて、何かだらだらと話して、なんとなく沈黙が来て、こそこそって話したり、みんなで話したねということがあるので、全然ネタとして広まらないんです。"
"大坪2","00;01;23;19","00;01;25;46","すいません。"
"しんめい2","00;01;25;51","00;01;48;07","でも結構雑談っていろいろあるじゃないですか。例えば、本当に昭和のサラリーマンの飲み会とかあって、愚痴大会みたいな感じになってたりとか、もうちょっとこう、例えば井戸端会議みたいな昔のものだったら、多分もうちょっと当たり障りのない話とか噂話とか、何か。"
"大坪2","00;01;48;11","00;01;51;51","だと男性と女性って分かれてカードを買うんです。"
"しんめい2","00;01;51;51","00;01;52;47","ね。"
"大坪2","00;01;52;52","00;02;04;40","女性陣の中で。私のアラビア語の問題かもしれませんが、姑とか夫の悪口はほとんどしゃべってなかった気がする。"
"大坪2","00;02;04;44","00;02;23;40","人の悪口を言ってるときはあるんですけど、その家の姑がとか、家の外とか、そういう悪口を延々と愚痴るってことはあんまりなかったかなって思うんです。第1は、嫁姑問題がないのかっていうとまたそれは別なんですけども、こっちが聞いてなかったかなって。"
"大坪2","00;02;23;44","00;02;32;16","それおそらく毎日おしゃべりすることでガス抜きができてるんじゃないかなと私は思う。"
"大坪2","00;02;32;21","00;02;38;24","1日30時間お喋りするんですよ。日本じゃ考えられないでしょう。"
"しんめい2","00;02;38;29","00;02;39;45","僕、結構。"
"大坪2","00;02;39;50","00;02;41;26","毎日します。"
"しんめい2","00;02;41;31","00;03;14;14","僕多分そういうのを少なくとも子供の頃はすごい嫌だった記憶があって。毎日じゃないですけど、毎年うちの実家に親戚が集まってきて、毎年全く同じ話をするが、昔あそこに木があってみたいな、でも何かその木がなくなってみたいなとかの話を全く同じ話を毎年するのがちょっと嫌で嫌で仕方なかっます。"
"大坪2","00;03;14;18","00;03;17;13","それが毎日行ってる感じですよね。"
"しんめい2","00;03;17;18","00;03;18;01","やっぱそうなんです。"
