Speaker Name,イン点,アウト点,文字起こし,色選択
しんめい,00:09:02:58,00:09:08:47,今でも若い人のお話って、渋谷とかから割と池袋とかに移って。,Purple
大坪,00:09:08:52,00:09:11:10,渋谷はもういないね。,Purple
しんめい,00:09:11:15,00:09:18:13,何か今でも若い人の街って渋谷とかから割と池袋とかに移っているって聞きましたね。もうすごい開発。東急がなんか大人の街にしてます。,Purple
しんめい,00:09:18:18,00:09:43:08,下北沢でもあいかわらずいるんですかね。でも何かすごいそんな10代がいる感じはしないですよね。10代、20代ぐらいの10代もいるか。,Purple
しんめい,00:09:43:13,00:09:54:10,下北ってずっとこの下北のこのカルチャーな感じのサブカルって言うんですかね、感じでずっとなんですかね。何10年もそんな感じなんですかね。,Purple
大坪,00:09:54:15,00:10:04:37,どうなんですかね。全然。すいません。分からない。ふらふらします。,Purple
大坪,00:10:04:42,00:10:14:37,結構。で、お店変わってますよね。覚えてないんだけど。,Purple
大坪,00:10:14:42,00:10:17:54,あまりふらふら町中歩かなくなっちゃったもんな。,Purple
しんめい,00:10:17:58,00:10:20:25,そうですよね。,Purple
大坪,00:10:20:30,00:10:28:01,下北2軒家3軒があって、そこにそこへ行くんだけど、それ以外は全然行かないんです。,Purple
しんめい,00:10:28:06,00:10:30:09,さっき行くのは飲食店。,Purple
大坪,00:10:30:14,00:10:54:21,コーヒー屋さんが1軒と。あそこは別にこだわってるわけじゃなく、知り合いがやってるから。 それも沖縄コーヒー繋がりなんですけれども、コーヒーで何かちょっと色々ネットワークが広がっていて面白いですね。イエメンで調査をしていると結局消えちゃうんだけれども、沖縄で調査をすると私も巻き込まれるんですね。そのコーヒーネットワークの中で、それを何か面白い。,Purple
大坪,00:10:54:21,00:10:56:33,そのコーヒーネットワークに。,Purple
しんめい,00:10:56:38,00:11:00:59,はいはいはい。面白い先生がいてみたいな感じで。なんか繋がり繋がったりとかするんですか？,Purple
大坪,00:11:01:00,00:11:07:39,私がすごい入ってないのがいいのか悪いのか分かんないんですけれども。,Purple
しんめい,00:11:07:44,00:11:10:40,で、いわゆるエスノグラフィーみたいな感じになるんですか。,Purple
大坪,00:11:10:40,00:11:21:48,でなくなるといいんですけどね。どうやってまとめるかはまだちょっと色々話を聞いてる段階です。,Purple
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_1
大坪,00:12:54:20,00:12:58:38,そうですね、一番ぐじゃぐじゃの懐がなくなっちゃいましたからね。 ここら辺だったん。,Rose
しんめい,00:12:58:52,00:12:59:57,ここら辺だったんですか。,Rose
大坪,00:13:00:06,00:13:07:40,ですが、じゃあこの辺ですね。ハマハマって言ったらいけないの。ぐちゃぐちゃでなんとか横。,Rose
しんめい,00:13:07:45,00:13:32:07,チェックした方がいいでしょう。,Rose
大坪,00:13:32:12,00:13:35:23,じゃあ次は何の本を書くんですか。,Rose
,00:00:00:00,00:00:10:02,--- 20s GAP ---,GAP_2
大坪,00:14:23:02,00:14:29:53,桜が咲いてる。 ここもなんかイベントやってる時もあるんですね。,Forest
しんめい,00:14:29:58,00:14:32:58,だから広場多いですね。そういう意味では。,Forest
大坪,00:14:33:03,00:14:36:59,小田急地下に入って良かったねって感じ。,Forest
しんめい,00:14:37:04,00:14:39:35,元々がガッツリあったんです。さっき小田急線。そっか先祖だったのがそうなんですね。,Forest
大坪,00:14:39:40,00:14:41:30,ここを全部先祖がああ。,Forest
しんめい,00:14:41:35,00:14:43:44,先祖か戦争だったのは。,Forest
大坪,00:14:43:48,00:15:06:49,ここ全部先祖があった線路ですよ。向こうもずっと正門で、ここのところ、ここだけ地下に入ったんですよ。前後は地下じゃなくて上。代々木上原は結局地上に出ちゃうんですけれども、ここだけ井の頭線があるからですよね。あとははずっと高架にして個性の無い駅になりましたが、小田急線は。 ありがとうございます。,Forest
しんめい,00:15:06:53,00:15:07:40,ありがとうございます。,Forest
大坪,00:15:07:40,00:15:09:05,ありがとうございました。,Forest
