"Speaker Name","Start Time","End Time","Text"
"東島","00:00:00:09","00:00:07:03","すごい話が来た。ミツバチ。"
"東島","00:00:07:05","00:00:11:14","できましたね。よいしょ。"
"東島","00:00:11:16","00:00:45:19","なので、これをつけるも。ちょっとお待ちくださいと。"
"東島","00:00:45:21","00:00:58:18","それは家に入れてくださいですか。これはね。もうポッケというよりは。もうつけていただければ。お話ができるようで。"
"東島","00:00:58:20","00:01:07:08","これを準備して。"
"東島","00:01:07:10","00:01:25:04","こっちは聞こえてんだよな。"
"東島","00:01:25:06","00:01:30:11","これを。"
"東島","00:01:30:13","00:01:38:11","れますと。"
"東島","00:01:38:13","00:01:42:08","もうこれ映らないので。"
"東島","00:01:42:10","00:01:45:01","手。"
"東島","00:01:45:03","00:01:52:19","の先生を。中国様。よいしょ。"
"東島","00:01:52:21","00:01:59:10","なんかもうどこでも。"
"東島","00:01:59:12","00:02:32:05","マイクはついたので。もう実は収録は始まって。どこかでカットするんですね。じゃあ。そうですね。わかりました。話し始められる状態。リラックスした感じで。って聞いて。聞いてますけど。じゃあ先生。予備の話でお願いします。わかりました。ことある。"
"東島","00:02:32:07","00:02:33:23","ですけど。"
"D","00:02:34:00","00:03:03:15","お二人は初対面ではないというか。東北大学で一回公演があったということはなかなかがたんですけど。もうそういう久しぶりですねみたいな感じから始めてもらって。あとはもう僕はタイムキーパーぐらいしかしてませんので、なかったら途中で待って、もうちょっと話聞かせてくださいとか言いますけど、それ以外は本当にリラックスして、1時間ちょっと喋ってもらって、後で編集しますという感じです。"
"D","00:03:03:17","00:03:09:09","ゆるゆるとこの辺確認しておきたいところがなければ、1。"
"東島","00:03:09:11","00:03:15:04","時間はどのくらい。まずは1時間くらい。"
"D","00:03:15:06","00:03:28:08","放送が50分ありますので、少なくとも50分必要で。で、ちょっといろいろ余談もあるでしょうから、1時間15分くらいの目安にしております。"
"東島","00:03:28:10","00:03:52:13","わかりました。これなんか後、車とか救急車とか通った時は、もう一回行った方がいいんですか。救急車はさすがにもう一回いただいた方がいいかもしれないですけど。この普通の交通量であれば全然大丈夫ですし、目の前で噴水が上がったりはするんですけど、噴水上がりましたねって触れていただければ何の音がわかるようになるので、目の前のことに触れていただく方がありがたいかなという感じで。"
"東島","00:03:52:14","00:03:57:20","なるほど。他になければ。"
"千葉","00:03:57:22","00:03:59:16","夏に始めていいんですね。じゃあ雑。"
"東島","00:03:59:18","00:04:04:09","に雑談で。"
"東島","00:04:04:11","00:04:05:19","はい。"
"千葉","00:04:05:21","00:04:10:13","じゃあどっちかというと僕がホストっぽい。ホスト役っぽい感じでやりますので。"
"東島","00:04:10:14","00:04:12:09","よろしくお願いします。"
"千葉","00:04:12:11","00:04:13:12","それは成り行きで。"
"東島","00:04:13:13","00:04:17:02","成り行きで本気で。"
"千葉","00:04:17:04","00:04:20:03","東京に来るのは久しぶりですか。"
"東島","00:04:20:03","00:04:23:22","それとも1か月ぶりぐらいですか。"
"千葉","00:04:23:23","00:04:29:05","ちょっと思ったんですけど、こっちってこっち。この辺って。"
"東島","00:04:29:06","00:04:30:06","皇居の方。"
"千葉","00:04:30:08","00:04:31:19","東京の真ん中じゃない。"
