"Speaker Name","Start Time","End Time","Text"
"東島","00:00:01:14","00:00:07:03","蜂が来た。ミツバチ。"
"東島","00:00:07:05","00:00:11:17","できましたね。"
"東島","00:00:11:19","00:00:45:19","で、これをつけるも。ちょっとお待ちください。"
"東島","00:00:45:21","00:00:58:17","これはポッケに入れて。足すやつですか。これはね。もうポッケというよりは。もうつけていただければ。お話ができるようで。"
"東島","00:00:58:19","00:01:07:08","それを信じて。"
"東島","00:01:07:10","00:01:39:03","こっちは聞こえてんだよな。大丈夫な。"
"東島","00:01:39:05","00:01:42:10","うつらないよね。"
"東島","00:01:42:12","00:01:51:12","でこれも先生の収録用。"
"東島","00:01:51:14","00:01:59:10","そしてもうどこでも。"
"東島","00:01:59:12","00:02:04:24","マイクはついたので。実は収録は始まるか。"
"千葉","00:02:05:01","00:02:10:09","どうかでカットするんですね。じゃあ。はい、わかりました。"
"東島","00:02:10:11","00:02:12:23","はじめられる状態。"
"千葉","00:02:13:00","00:02:25:00","リラックスした感じで。って聞いてますけど。それでじゃあ先生、予備ってのはなしで。34日でお願いします。"
"東島","00:02:25:02","00:02:27:10","事ある。"
"D","00:02:27:12","00:03:03:16","ないですけど。よろしくお願いしますってはいけないんですけど。お二人スタイルではないというか。東北大学で2回公演があったということは。なかなか簡単ですけど。もうそういう国ですね。みたいな感じから始めてもらって。あとはもう僕は対応ぐらいしかしませんので、なかったら途中で話を聞かせてくださいと入りますけど、それ以外は本当にリラックスして、1時間ちょっと喋ってもらって、後で返事しますという感じです。"
"D","00:03:03:18","00:03:09:08","ゆるゆるとこの辺確認しておきたいところがなければ、1。"
"千葉","00:03:09:10","00:03:11:06","時間はどのくらい。"
"東島","00:03:11:08","00:03:15:04","まずは1時間くらい。"
"D","00:03:15:06","00:03:28:08","放送が50分ありますので、少なくとも50分必要で。で、ちょっといろいろ余談もあるでしょうから、1時間15分ぐらい、16の目安にしておりますです。"
"東島","00:03:28:12","00:03:47:22","わかりました。後、車とか救急車とかとった時はもう一回行った方がいいんですけど、救急車はさすがにもう一回いただいた方がいいかもしれないですけど、この普通の交通量であれば全然問題なしで、目の前で噴水がバーっと上がったりはするんですけど、噴水上がりましたねって触れていただければ、何の音がわかるようになるので。"
"東島","00:03:47:22","00:03:54:24","わかりました。目の前のことに触れていただく方がありがたいかなという感じです。"
"東島","00:03:55:01","00:03:57:19","他になければ。"
"千葉","00:03:57:21","00:04:02:24","雑に始めていいんですね。じゃあ雑に。"
"東島","00:04:03:01","00:04:05:19","この辺で。"
"千葉","00:04:05:21","00:04:17:02","じゃあ、どっちかというと僕がホストっぽいホスト役っぽい感じでやりますんで。ですかね。はい。それは成り行きで成り行きで。"
"千葉","00:04:17:04","00:04:44:04","東京に来るのは久しぶりですか。それともよく来られます。そうですか。ちょっと思ったんですけど。こっちってこっち。この辺って東京の真ん中じゃないですか。確かにここに来るとすごく。なんかこう。なんていうのかな。違和感を感じて。なぜか。なぜかというと。東京って東京。"
"千葉","00:04:44:09","00:05:03:04","普通都市ってなんか真ん中に目立つ建物とか。人が集まる場所とか。そういうのがあるじゃないですか。でもここ真ん中なのに何も見ても何もないんですよ。で。"
"千葉","00:05:03:06","00:05:31:17","それで変わってるなって思うんですけど。でも歴史を踏まえてみると、ここ昔はちょっと向こうの方かな。巨大な天守閣があって、17世紀に巨大な天守閣があって、でも火事で燃えてということで、かつてはここにすごく目立つものがあって、多分そこが街の真ん中みたいな、そういう目印というか、そういう目立つものがあったと思うんですよね。"
"千葉","00:05:31:17","00:05:49:17","でも今はなくなっちゃったりしろって言ったら、なんか店主があるじゃないですか。だから店主のない城ないしろ店主が存在しないしろっていうのは、何ていうのかな、この江戸城の。面白いところかなと思っていて。"
"千葉","00:05:49:19","00:06:10:22","ここ和田じゃないですか。でちょっと時間があったので。そこをちょっと見物してたんですよ。そしたらなんかこう説明板があって。それを見るとあの。和田プラモを作ったのは、それを中心になって作ったのは伊達政宗だって書いてあるんですよ。"
"千葉","00:06:10:24","00:06:32:10","で、伊達政宗って青葉城。仙台の青葉城を築いた人ですよね。で、東島さんと青山に来られてるから、来られたことがあるからご存知だと思いますけど、やっぱり青葉上も天守閣ないんですよ。そうなんです。そういう意味で共通してるんですけど。"
"千葉","00:06:32:11","00:06:59:12","やっぱりなんか目立つものがないでもないっていうのは。多分それなりの意味があって。きっと何か理由があって。徳川もその長い間の江戸時代の長い期間、それから伊達政宗も伊達政宗の場合って天守閣自体を立てなかったらしいんですけど、でも、ないっていう状態を維持したっていうのは、なんかそれなりに意味があったと思うんですよね。"
"千葉","00:06:59:14","00:07:19:22","それを踏まえて、実はちょっと東島さんの尻尾のしっぽ額のことで考えたんです。本を読ませていただいて大変感銘を受けたんですが。とても面白かったんですけど、そこで特に。"
"千葉","00:07:19:24","00:07:42:14","僕が注目したのが、やはり人って尻尾がない。後ろから生き物を見た時に、例えば哺乳類を見た時に一番注目するのって、目立つところって尻尾じゃないですか。でもそれが人がない。それはなぜかという問い立てはとても魅力的で惹きつけられたんですね。"
"千葉","00:07:42:16","00:08:02:16","で、ここでちょっとお聞きしたいのは、人と人っていうのは、例えば哺乳類で人みたいに尻尾がないないって言っていいのかどうか、ちょっとそこは後で説明していただきたいんですけど。尻尾がないっていうのはかなり特別なことなんでしょうかね。"
"東島","00:08:02:17","00:08:16:05","そうですね。少ないと思います。基本形はあるのがベースでないってなるとかなり限られてきて。あと極端に短いとかだとちょっといるんですけど、完全にないはかなり少ないです。モルモットぐらいじゃないですか。"
"千葉","00:08:16:06","00:08:41:03","ああ、そうですか。そうすると、その尻尾がないっていうのは、人間にとってとても重要なことと考えていいわけですね。で、本の中で東島さんが特に強調しておられて、私の印象が残ったところ、説明があって、それは。"
"千葉","00:08:41:05","00:08:48:02","尻尾が二人に尻尾がないということと、それから。"
"千葉","00:08:48:03","00:09:10:19","2足歩行する、このことは実は関係がない。これは非常に強調して書いておられたところなんですけど、ここ、なぜそうなのか。これ結構僕も実はうっすらとそう思ってたところがあって、結構いろんな本を読むと、やっぱりそういうことが書いてあって、多くの人はそう信じてると思うんですよね。"
"千葉","00:09:10:19","00:09:15:15","でも、そうではないというのはどうしてなのか。"
"東島","00:09:15:17","00:09:34:19","それは化石の証拠から結構はっきり分かっていまして、あの人に尻尾がないっていうのが、そもそも人上下と類人猿を含めての先祖からの共有の形質なんですけども、その尻尾がない一番古い化石がすでにまだ4足歩行で2足で歩いてないんですよ。"
"東島","00:09:34:21","00:09:48:11","なので先に尻尾がなくなってからしばらく経ってから歩行を獲得したっていうふうに考えるのが自然で。なので尻尾の喪失の方が先に起きてるねっていう話は。"
"千葉","00:09:48:13","00:09:53:08","そうするとじゃあ。"
"千葉","00:09:53:10","00:10:08:17","今堂島さんが支持している。尻尾がなくなったその理由になる。一番想定できるというか。信頼できる考え方というのは何なんですかね。"
"東島","00:10:08:19","00:10:27:21","正直、現時点だと何も積極的にこうだっていう証拠も、何かを否定する証拠も現時点でないので、何でも言えちゃうような状況ではあるんですけど。まず少なくとも今言われている仮説で一歩一番有力と、というか支持している人が多いのはゆっくり動いたからじゃないかなんですけど、あれはちょっと違うと思っていて。"
"東島","00:10:28:02","00:10:40:03","私自身は何か亡くなる積極的な理由があったんじゃないかなというふうには考えています。ならざるを得ない理由がなくなった方がよかった理由がどっちかがあったんじゃないかなと思って。"
"千葉","00:10:40:09","00:10:57:13","じゃあ、何か無駄だからなくなったというわけではなくて、やっぱりないことというのが、何かしらとても生きていく上で、あるいはそれ以外の理由で、あるいは子孫を残したりする上で、何か有利なことがあって亡くなったというふうに考えていいわけですか。"
"東島","00:10:57:17","00:11:07:02","あるいは、その何かそういう積極的な理由ではなくて、発生学的な、それこそ制約によって作ることができなくなったという可能性もあるんじゃないかなと。"
"千葉","00:11:07:04","00:11:38:05","例えば、ある、それは例えばこういうことですか。例えば、ある部分で何かしらの役に立つ、何でもそうですけど、例えば手を羽にしてしまうとものが掴めなくなるっていうのと同じような理屈で、あるいはシーソーみたいにこっちが上がったらこっちが下がるみたいな感じで尻尾があるとある何らかの仕事ができなくなる、機能が果たせなくなるということなんですかね。"
