"Speaker Name","Start Time","End Time","Text"
"千葉","00:00:00:09","00:00:07:03","すごいいい話が来た。ミツバチ。"
"千葉","00:00:07:05","00:00:11:13","できましたね。"
"千葉","00:00:11:15","00:00:45:18","なので、これをつけるもちょっとお待ちくださいという。"
"千葉","00:00:45:20","00:00:46:07","それは。"
"東島","00:00:46:07","00:00:48:11","ポッケに入れて。こう出すやつですか。"
"千葉","00:00:48:13","00:00:58:17","これはもうポッケというよりは適当。もうつけていただければ。お話ができるようで。"
"千葉","00:00:58:19","00:01:25:04","これを。"
"千葉","00:01:25:06","00:01:30:11","これを。"
"千葉","00:01:30:13","00:01:38:11","れます。大丈夫ですかちょっと。"
"千葉","00:01:38:13","00:01:53:14","もうこれ映らないので。"
"千葉","00:01:53:16","00:01:59:10","ここでも。"
"千葉","00:01:59:12","00:02:22:17","マイクはついたので。もう実は収録は始まっているということで。買ってきて。編集もいたしますが。もう話し始められる状態。リラックスした感じで聞いてますけど。おっしゃる通りですが、先生よりってのはなしでなんて算用でお願いします。"
"東島","00:02:22:17","00:02:25:00","わかりました。"
"千葉","00:02:25:02","00:02:29:12","ことある。"
"千葉","00:02:29:14","00:03:06:02","よろしくお願いします。ですけど、お二人は初対面ではないというか。東北大学で一回公演があったということはなかなか簡単ですけど、もうそういう先進国ですねみたいな感じから始めてもらって。あとはもう僕はTYPEKITぐらいしかしませんので、何かあったら、途中であってもちょっと話を聞かせてくださいとか言いますけど、それ以外は本当にリラックスして、1時間ちょっと喋ってもらって、後で編集しますという感じですと。"
"千葉","00:03:06:04","00:03:15:05","この辺確認しておきたいところがなければ、1時間はどのくらい。まずは1時間くらい。"
"千葉","00:03:15:07","00:03:28:08","放送が50分ありますので、少なくとも50分必要で、ちょっといろいろ余談もあるでしょうから。1時間15分くらい。16日夜。"
"東島","00:03:28:10","00:03:33:12","わかりました。これなんか後、車とか救急車とか通った時は、もう一回行った方がいいんですか。"
"千葉","00:03:33:12","00:03:34:20","救急車はさすが。"
"D","00:03:34:20","00:03:37:03","にもう一回いただいた方がいいかもしれないですけど。"
"千葉","00:03:37:06","00:03:37:20","この普通の。"
"D","00:03:37:20","00:03:39:13","交通量であれば全然大丈夫。"
"千葉","00:03:39:13","00:03:42:07","ですか。目の前で噴水がバーって上がったり。"
"D","00:03:42:07","00:03:42:21","はするんです。"
"千葉","00:03:42:21","00:03:52:13","けど、噴水上がりましたねって触れていただければ何の音がわかるようになるので、目の前のことに触れていただく方がありがたいかなという感じで。"
"東島","00:03:52:14","00:03:55:01","なるほど。"
"千葉","00:03:55:03","00:04:01:02","他になければ月に1点ですね。"
"千葉","00:04:01:04","00:04:06:06","で、この辺にいます。"
"千葉","00:04:06:08","00:04:10:11","かというと、僕がホストっぽい感じでやります。"
"東島","00:04:10:13","00:04:12:09","よろしくお願いします。"
"千葉","00:04:12:11","00:04:13:05","それは成り行き。"
"東島","00:04:13:05","00:04:17:03","で成り行きで。"
"千葉","00:04:17:05","00:04:20:19","東京に来るのは久しぶりですかそれとも。"
"東島","00:04:20:20","00:04:24:05","1ヶ月ぶりぐらいです。はい。"
"千葉","00:04:24:06","00:04:24:15","思ったん。"
"東島","00:04:24:16","00:04:28:04","ですけど。こっちって。"
"千葉","00:04:28:06","00:04:28:17","この辺。"
"東島","00:04:28:18","00:04:30:07","って皇居の方。"
"千葉","00:04:30:09","00:04:31:19","東京の真ん中じゃない。"
"東島","00:04:31:19","00:04:34:03","ですか。確かに。"
"千葉","00:04:34:05","00:04:39:19","ここに来ると僕なんか、なんていうのかな、違和感を感じて。"
"東島","00:04:39:20","00:04:40:16","違和感なく。"
"千葉","00:04:40:18","00:04:50:08","なぜかというと、東京って東京。普通都市って真ん中に目立つ建物。"
"東島","00:04:50:09","00:04:51:02","とか。"
"千葉","00:04:51:04","00:04:54:00","人が集まる場所とか、そういうのがあるじゃない。"
"東島","00:04:54:00","00:04:55:05","ですか。確かに。"
"千葉","00:04:55:09","00:04:57:11","でもここ真ん中なのに何も。"
"東島","00:04:57:17","00:04:58:00","確か。"
"千葉","00:04:58:00","00:05:03:04","に何もないんですよ。"
"千葉","00:05:03:06","00:05:08:17","それで変わってるなと思うんですけど。でも歴史を踏まえてみる。"
"東島","00:05:08:17","00:05:09:22","と。"
