Speaker Name,イン点,アウト点,文字起こし,色選択
石塚,00:00:00:10,00:00:01:23,なるほど,Lavender
重田,00:00:02:10,00:00:14:10,それぐらいになんか異常な湿度の日があったんですよでもなんかちょっと外歩いてるだけではっきりがするぐらいの湿度がね80何パーセントいってたらしいですよねその日はそれに比べると今日はまだ,Violet
石塚,00:00:05:05,00:00:06:20,ああそうなんですね,Lavender
石塚,00:00:13:00,00:00:16:18,ちょっとなかなか札幌ではない感じですね,Lavender
重田,00:00:17:03,00:00:18:18,さらっとしてますよね,Violet
石塚,00:00:18:23,00:00:23:23,割と暑いの暑いんですけれどもこれ液とか大丈夫ですか?,Lavender
重田,00:00:25:15,00:00:27:20,これでも眩しそうだから,Violet
石塚,00:00:30:00,00:00:35:23,大丈夫です、大丈夫ですこっちを向いて、そのうち日が来るようになったら,Lavender
重田,00:00:30:22,00:00:33:08,眩しくない?,Violet
重田,00:00:34:08,00:00:39:13,あ、でもちょっとやっぱりなんかすごい眩しそうこっちにほらこうやってると,Violet
石塚,00:00:41:07,00:00:49:23,素敵でしたありがとうございますなんか今日尾本先生のことをさんづけで呼んで大丈夫ですか?,Lavender
重田,00:00:50:20,00:00:52:15,もちろん!,Violet
石塚,00:00:52:05,00:00:55:00,私のことも石塚なり石塚さん,Lavender
重田,00:00:54:12,00:00:56:20,石塚さん石塚って呼んだらおかしいですよね,Violet
石塚,00:00:56:10,00:00:58:15,全然私はいいんですけど,Lavender
重田,00:00:58:23,00:01:03:00,石塚さん、えっと、え、同じくらいにとしたの?ちょっと私、,Violet
石塚,00:01:02:18,00:01:05:05,あ、あの、たぶん、あ、えっと、いや、もう、ん?,Lavender
石塚,00:01:08:08,00:01:10:20,私69年生まれで,Lavender
重田,00:01:11:03,00:01:13:07,私68なので,Violet
重田,00:01:15:03,00:01:19:00,それは結構重要なんですよね話する時に知ってることがほら,Violet
石塚,00:01:19:05,00:01:23:15,あれ?ジェネレーションギャップだ,Lavender
重田,00:01:22:02,00:01:24:12,そうそうよかったですそれは,Violet
重田,00:01:25:15,00:01:31:20,でこれあれですよねこうやって喋っててあの編集してくれるからもう今ここ大事じゃないってことも別に,Violet
石塚,00:01:33:13,00:01:37:10,私じゃないよでも雑談で始める,Lavender
重田,00:01:37:13,00:01:39:03,そうなんですね。,Violet
重田,00:01:48:05,00:01:51:15,なるほどなるほどだからお互い全然知らないっていうことで,Violet
重田,00:01:52:15,00:01:57:10,例えばどういうことをされているかとかご出身はとかっていうのも聞いて,Violet
石塚,00:02:05:17,00:02:07:08,あきもつけた瞬間かってます,Lavender
石塚,00:02:15:05,00:02:19:05,大丈夫ですか?もしまずかったら言っていただければ。,Lavender
石塚,00:02:30:08,00:02:36:00,私も携帯置いてきちゃったんで言っていただかないいつまでも喋り続けるかもしれません,Lavender
重田,00:02:36:00,00:02:40:18,こっちに置いた方が良くない?なんかすごい日が差しちゃう感じ,Violet
石塚,00:02:39:03,00:02:42:00,あははは,Lavender
石塚,00:02:43:05,00:02:51:13,すいませんすいませんそうですねむしろカバンをそこに置いてこっちに座った方が良くないですかね,Lavender
重田,00:02:43:23,00:02:47:20,この辺に多分置いた方がいいと思うむしろ,Violet
重田,00:02:51:13,00:02:58:12,こっちにカバンを置いてってこと?あんまり変わらないかな?どうでしょうね,Violet
石塚,00:02:58:00,00:03:01:17,これはかよけらしい,Lavender
重田,00:03:00:05,00:03:04:05,あ、これかよけ?あ、でもこっちの方がいいね,Violet
重田,00:03:05:07,00:03:06:20,ちょっともしかしてずれてるかもしれない,Violet
石塚,00:03:08:10,00:03:12:05,よろしくお願いします,Lavender
重田,00:03:18:10,00:03:20:18,えっと石塚さんは,Violet
重田,00:03:22:15,00:03:24:15,ってことなんですけど,Violet
石塚,00:03:25:17,00:03:35:07,実は両親が2人とも北海道出身で毎年北海道には子供の頃からいてたんですけど出身自体は茨城県,Lavender
重田,00:03:37:00,00:03:39:00,なんですかそれで大学とか,Violet
石塚,00:03:39:17,00:03:46:18,大学はですね、高校までは水戸市だったんですけど、大学が北海道に。,Lavender
重田,00:03:45:23,00:03:48:05,あっ、そっからずっとじゃあ北海道,Violet
石塚,00:03:48:10,00:03:53:05,そうですね、一回就職で筑波の方に行ったりとかはしたんですけど,Lavender
