Speaker Name,Start Time,End Time,Text
石塚,00:00:00:10,00:00:01:23,なるほど
石塚,00:00:05:05,00:00:06:20,ああそうなんですね
石塚,00:00:13:00,00:00:16:18,ちょっとなかなか札幌ではない感じですね
石塚,00:00:18:23,00:00:23:23,割と暑いの暑いんですけれどもこれ液とか大丈夫ですか?
石塚,00:00:30:00,00:00:35:23,大丈夫です、大丈夫ですこっちを向いて、そのうち日が来るようになったら
石塚,00:00:41:07,00:00:49:23,素敵でしたありがとうございますなんか今日尾本先生のことをさんづけで呼んで大丈夫ですか?
石塚,00:00:52:05,00:00:55:00,私のことも石塚なり石塚さん
石塚,00:00:56:10,00:00:58:15,全然私はいいんですけど
石塚,00:01:02:18,00:01:05:05,あ、あの、たぶん、あ、えっと、いや、もう、ん?
石塚,00:01:08:08,00:01:10:20,私69年生まれで
石塚,00:01:19:05,00:01:23:15,あれ?ジェネレーションギャップだ
石塚,00:01:33:13,00:01:37:10,私じゃないよでも雑談で始める
石塚,00:02:05:17,00:02:07:08,あきもつけた瞬間かってます
石塚,00:02:15:05,00:02:19:05,大丈夫ですか?もしまずかったら言っていただければ。
石塚,00:02:30:08,00:02:36:00,私も携帯置いてきちゃったんで言っていただかないいつまでも喋り続けるかもしれません
石塚,00:02:39:03,00:02:42:00,あははは
石塚,00:02:43:05,00:02:51:13,すいませんすいませんそうですねむしろカバンをそこに置いてこっちに座った方が良くないですかね
石塚,00:02:58:00,00:03:01:17,これはかよけらしい
石塚,00:03:08:10,00:03:12:05,よろしくお願いします
石塚,00:03:25:17,00:03:35:07,実は両親が2人とも北海道出身で毎年北海道には子供の頃からいてたんですけど出身自体は茨城県
石塚,00:03:39:17,00:03:46:18,大学はですね、高校までは水戸市だったんですけど、大学が北海道に。
石塚,00:03:48:10,00:03:53:05,そうですね、一回就職で筑波の方に行ったりとかはしたんですけど
石塚,00:03:54:22,00:03:56:20,数字数字
石塚,00:03:57:20,00:04:01:03,北海道の方がだいぶ長くなりました
石塚,00:04:10:20,00:04:18:08,逆にこの暑さは答えますねそういう意味では出身は茨城、関東とは言っても
石塚,00:04:19:23,00:04:23:15,茨城はですね、場所によるかもしれません。でも暑いです。
石塚,00:04:26:08,00:04:31:20,あ、そうなんですか?初めて知りました
石塚,00:04:34:10,00:04:41:03,そうですね、全然北海道に比べたら相当暑いです。オムダさんはどうなんですか?
石塚,00:05:02:18,00:05:04:20,あったっていうことなんですね
石塚,00:05:09:10,00:05:11:05,墨田川とか
石塚,00:05:15:20,00:05:26:05,そうなんですね私もあの出張で結構しょっちゅう東京は来るんですけれどもなかなかあのこんな川べりにこう座ったりとか
石塚,00:05:27:05,00:05:35:13,ないですね。普通にビル街をガーッと歩いて、ガーッと飛行機で帰るみたいな感じですもんね。
石塚,00:05:37:23,00:05:39:13,そうですね
石塚,00:05:51:00,00:05:52:18,あ、あ、そうなんだ
石塚,00:05:59:18,00:06:01:15,声の名前そうですもんね
石塚,00:06:27:15,00:06:32:02,どんどん周りも発展していってみたいな感じですよね
石塚,00:06:37:15,00:06:39:10,はい
石塚,00:06:52:08,00:06:54:02,それ?
石塚,00:06:59:03,00:07:01:18,ああなるほど
石塚,00:07:11:18,00:07:25:01,でもそれはそういうところ多くないですか?でも逆に。例えば北海道だと、いわゆる鉄滑の自然とかもちろんいっぱいありますけれども。イメージはね。でも例えばあの札幌駅も、あの
石塚,00:07:25:01,00:07:38:10,札幌駅というか、近く北海道大学があって、北海道大学の中にもわさわさ緑がいっぱい残ってますけど、でもどんどん発展して、ビルができ、住宅街のどの中に大学がある。
石塚,00:07:40:00,00:07:45:05,それも後から出てきた都市の形
石塚,00:08:12:22,00:08:17:20,そういうところが多いですねやっぱり駅とかそういうところを中心にどんどん
石塚,00:08:22:10,00:08:23:23,特徴を持つというような
石塚,00:09:02:10,00:09:06:02,まあそう、普通に家がありますから
石塚,00:09:13:10,00:09:27:13,ビルがバーっとなっていて私でも実は海とか川とか結構好きなんですよ川があるだけでもすごい和む
石塚,00:09:30:10,00:09:33:13,後ろも公園がある
石塚,00:09:48:18,00:09:57:10,でも迷うんですよ何がなったか分かるんですよそうなんですよ方向が全然分からなくなったりとかしますよね
石塚,00:10:05:18,00:10:09:00,海は南はいはいはい
石塚,00:10:35:13,00:10:50:00,そうですね、それはそうですね。オリンピックもそうです。いろんな事件というか、いろんなところがあって、後から付け足していったところもいっぱいあるのかなという気もする。
石塚,00:10:53:05,00:10:56:15,でもやっぱりこの皮は基本なんじゃないですか
石塚,00:11:10:08,00:11:12:02,そっちの運です
石塚,00:11:44:23,00:11:48:05,まあでも風物詩っぽいようなイメージがあったんですけど
石塚,00:11:53:03,00:11:57:07,あーあの荷物を運ぶためにとかですね
石塚,00:12:02:00,00:12:08:20,そうですよね、ずっとそれで栄えてきたというか、そういう形でも発展してきた場所ですよね。
石塚,00:12:33:13,00:12:36:12,上を埋められちゃったんですね
石塚,00:12:41:23,00:12:53:05,私は高速道路の上がバーッと覆われていて、下が川とかっていうところを洗うじゃないですか。ああいうところ結構好きなんですよ。
石塚,00:12:57:03,00:13:03:03,いやいやなんかあの昭和な感じって言ったら怒られそうですけどちょっと心が落ち着く感じが好きで
石塚,00:13:09:03,00:13:12:00,あの感じ好きです
石塚,00:13:49:23,00:13:52:02,残した方がいいのか
石塚,00:14:18:08,00:14:23:13,水は止めると、どんどん循環ができなくなるから、なんて言うんですかね。
石塚,00:14:44:00,00:14:48:00,いっぱい今復活してる環境が
