Speaker Name,イン点,アウト点,文字起こし,色選択
D,00:00:01:01,00:01:50:17,では。 生活をやってみたい。 方なので。 古着も。 ほどでもない。 が見つけます。 していただければと思います。 ということで。 大阪での収録ができましたが、ポケットに日本語の番組なので。 大阪の風にならない。 ここでお互いを呼び合う時に。 住んでいなければ。,Violet
大津留,00:01:50:18,00:02:58:22,カッコキタはです。 過去、北川はいいです。 あるよと自分の方で気を遣ったりする。 韓国人でそこまで。,Violet
吉田,00:02:59:00,00:03:18:06,いいもそっちの早朝ですよ。 なるほど。,Violet
D,00:03:18:07,00:03:24:17,適当ですよ。,Violet
山本,00:03:24:19,00:03:26:13,できて。 いただいて。 マイクテストも兼ねて。 席順はこれでいいですか？はいはい。 じゃあ方向性は開いちゃうけど。 教わった方に。,Violet
吉田,00:03:26:15,00:03:29:12,はい。聞こえてますでしょうか。,Violet
山本,00:03:29:14,00:03:44:05,汗の。 拾ってる。 出している。,Violet
D,00:03:44:07,00:03:48:23,から準備ができたら認定なのに任せている。,Violet
山本,00:03:49:04,00:03:51:20,拾ってるからの話を出し合って。,Violet
大津留,00:03:52:02,00:03:53:16,これは別にまた拾っ。,Violet
D,00:03:53:19,00:05:14:10,話はそれでもマイクでこちらで収録しています。 なので、僕と皆さんの話を聴いているだけで、タイムキープくらいしか本当にこの番組ディレクターが割り込む場所はないですが、ざっくり。 事前にお送りしたメールの要点とかで流れて流れをご案内していると思いますけど、なんとなく時事ネタというかはじめましてもありますので、ちょっと雑談があればそこからスタートしてもらって、大阪みたいなことから始めればそれでいいかなとなっていますが。 なので、収録準備ができても問題なく収録できているのを確認できたけど、今の段階で何かいうか収録みたいなことを。 内容というよりは技術的なか何かその辺で確認しておきたいことと。,Violet
大津留,00:05:14:12,00:05:18:16,詰まった時、詰まったときって、後でそこを切っていただけるんですか？なし。 詰まったら詰まったみたいな。,Violet
D,00:05:18:18,00:05:21:00,なしでも。,Violet
大津留,00:05:21:02,00:05:22:09,はい、ありがとうござい。,Violet
D,00:05:22:11,00:05:38:11,が。 放送時代が5050件を107。 ちょっとヤバイです。 クレイジーな番組ですけど、それ全部で18030万ぐらいをつけていただきますので、突然全然変わってしまいます。,Violet
大津留,00:05:38:13,00:05:39:05,ありがとうござい。,Violet
