Speaker Name,イン点,アウト点,文字起こし,色選択
D,00:00:01:08,00:00:05:06,しまったな。責任もあるんですけども、なぜ思わせてしまったんだろう。,Purple
大津留,00:00:05:06,00:00:11:17,かっていうのが、私自身としてはまだ答えが出てない。クエスチョンマーク。,Purple
吉田,00:00:11:18,00:01:41:12,政治って基本的に誰が主権者か、つまり決定する力を持つのか、持つべきなのかの闘争の歴史でもあるわけですよね。 それが例えばマルクス主義はまさに労働者がそうであるべきだって言ってたわけだし、そうすると、革命が起きるので、そういうのを排除すべきだというふうに言ってたし、あるいは第1次世界大戦の後、主権が制約されてた国っていうのは、ファシズムがそれによって出てくるし、で、そうすると、民族と血っていう話になるわけですよね。 やっぱり人間がそういった意味で自己決定をしたいっていう本能的に持っている何かっていうのはずっと続いていて、それが政治人類のかなりの歴史を作ってきたことは確かだと思うんですよね。 その自己の範囲だと思うんですよ。 自己決定といった場合、そこの想像できる自己にどれぐらいの人が入ってきていいのか、来てもらいたいのかっていうのがやっぱり狭まると。 やっぱりいわゆる排除の論理になっていって、その排除される人はその時代、時代の文脈によって変わるんですけれども、やっぱり自分に対する想像力とか、さっきの民主主義の話じゃないですけど、自分がどれぐらい開放的になれるかっていうことによっても、やっぱり自己決定権のあり方っていうのも変わるだろうなというふうに感じますね。,Teal
山本,00:01:41:13,00:02:44:14,日本の場合はね。 それこそ戦争中は多民族国家だっていうと、むしろ押し出すんですよね。 それはもちろん領土的に拡張して、帝国で多民族だからあなたたちも同じですよってことを、同じというか、その中でもグラデーションがありますけれどね。 でもそれが戦後になって、いわゆる単一民族神話みたいなものが形成されていくっていうのは先行研究があるところですけど。 だから今のアメリカもその排除の論理が入ってるけれど、排除の論理が前面に出てきてるように見えるし、その通りなんだけど、別にね、同じ現象を包摂の論理で唱えることだってかつてはしてきたわけですよね。 それが移民国家の強さなんだっていう形でね。 その時代によってその説明の論理が同じ現象だと思うんだけど、説明の論理が変わっていく、民の範囲が変わっていく、私たちの範囲が変わっていくっていうのがやっぱ面白いし面白いというか。 うん。 私たちの街が変わっていくっていうのがやっぱり面白いし、面白いというか。,Teal
山本,00:08:52:20,00:10:39:03,ああ、なるほどなあ。 いや、僕はだからサブカルチャーでぱっと思いつくのは、その悪役の描き方なんですけれども、悪役とか殺人犯とかの描き方なんですけど、ある時期まで黒澤明でもそうだし、山崎豊子原作でもそうだけど、その凶悪っていうのは社会が生んだ悪なんだと。 あるいは殺人事件もこれ社会が生んだものなんだというような捉え方っていうのはあるわけですよね。 金弘の立てこもり事件もそうだし。 で、それは確かに今でもそういう見方は有効だっていうふうに思いますけど、サブカルチャーを見ていると、どんどんどんどんですね、こうサイコスリラーの方に70年代、80年代いくわけですね。 頭のおかしい、恐ろしい、大変怖い奴だというふうに変わっていくっていう、そういう犯人像、悪役像が変わっていくっていうのが面白いと思っていて。 で、21世紀に入ると、このヴィランとかって言って、悪のヒーローですねが出てきたりもする。 そういう悪役、私らホラーサブカルチャーって、やっぱり多くの観客が納得する人間像っていうのを一生懸命出していくもんだから、やっぱりそこにはそれはあくまで卵の方でしょうけど、そこにはやっぱりこう、私らの共同主観的な社会像っていうのがどうしても現れると思うんです けど、私は犯罪とかね、悪の表象に社会と個人の関係っていうのが現れているのかなっていうふうに思いますね。 うん。 悪者であってもヒーローになりうるっていうのは、もう21世紀的っていう気が私はしてましたけどね。 そういうところを思いました。 確かに確か。,Cerulean
山本,00:11:44:05,00:12:51:06,あっそうですね。 脚本とかのレベルでは、やっぱりこう、戦後の革新運動に関わってた人たちがテレビ業界の脚本とかに行くっていうのが、まず事実ベースとしてはあると思いますけど。 でも一つ言えるのは、今誘導してくださったように言いたいんでしょうね。 子供を馬鹿にし過ぎないっていうか、これでもわかるんだっていう視聴者はこっちについてくるんだっていうね。 そういういい意味での前衛感ていうのは、やっぱりある時期までのサブカルチャーの作り手たちに共有されてるっていうふうに思いますね。 これサブカルチャーだけじゃなくて、メディアもそうだっていうふうに思いますけども、引っ張っていけるっていう自負ですね。 それはある時期までは強く感じますね。 急にある時期から優しくなっていくっていう感じがします。 私が子供の頃くらいになると、もう優しい子供向け文化に親しんできたっていう感じですね。 もう丸いのばっかりでしょう。 ドラえもんもあれもアンパンマンも丸いのばかり。 もうあんなトゲトゲのやついないですよね。 仮面ライダーみたいにね。 仮面ライダーは画面ないで続いてますけど。 ちょっと暴論で失礼しました。,Cerulean
大津留,00:12:51:08,00:12:58:10,それも社会が子供をどう育てるかが変わってきたということですか。,Cerulean
山本,00:12:58:12,00:13:18:06,そうですね、育てるかっていうところまで言えるかわからないけど、やっぱり社会が子供にここまでやったら見せていいの？許容範囲が変わってきた。 子供ある意味、ある意味じゃ温室ある。 ある意味じゃねえ。 それはいいことなんだと思うし、望んだことなんだけれども、それはいろんな領域で言えると思います。,Cerulean
大津留,00:13:18:06,00:13:29:08,学校の成績表が変わっていくよう。 悪いとは書けない。 みんないいにいいけど下がるよみたいな。,Cerulean
吉田,00:35:19:01,00:35:37:18,なるほどね。 だから人工的に公共の場所を作るって基本難しいんじゃないですか。 やっぱり歴史的な積み重ねがあったり、解放区みたいなもんじゃないですか。 そこが何か行政がお金をつけたり、デベロッパーが開発したり、何かそういった公共を作るのって多分本来の公共じゃないんだろうなと思います。,Cerulean
