色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
,02:00:14:03,02:00:31:12,大津留,,,だから、その意味で、若かった頃はかなり打撃でしたね。 会えない子ね、画面を通してしか会えないっていうのは、何か人間性がこういう感じ。
Violet,02:00:31:14,02:01:20:19,山本,,そうですね。 確かな。 何かズームでも随分と代替できるし、授業も大学によっては1回目と最後はオンラインでやりなさいって言われるようになるし。 それは別に全然いいことだと思うんだけど、先生なので別に合理的でいいと思うんですけどね。 やっぱりその、さっき私は緊張感という方したけど、新体制とかね、おんなじ空間で汗かいて一生懸命しゃべってる人が何人もいるっていうような、ああいう身体と結びついた来た空間認知としての公共の感じ方というのは、やっぱりいい意味で対面とオンラインの バランスを取っていく時期に来てるっていうふうには思いますね。 それは仕掛けの作り方の問題ですけどね。,
,02:01:20:21,02:01:46:02,吉田,さっき山田さんの話で、経済的に成功しちゃったからっていうので思い出したんですけど。 日本ってヨーロッパから日本に来て、あるいは日本からヨーロッパに行って、見知らぬ人とどういうふうに知り合うのか、あるいは自己紹介するのか。 日本って名刺交換しないとまず話始めないですよね。 とりわけ名刺交換食消息職業に就いてる人って、それは何でしょう。 例えばプライベートな場でも名刺交換する人がいるんですよ。,,
Rose,02:01:46:04,02:01:48:15,山本,,確かに名刺交換するまで待ってたもんね。僕も。,
Rose,02:01:48:15,02:03:15:23,吉田,商談だったらもちろんしますけど。 で、ヨーロッパって基本、自分にファンクションが与えられている。 それはカフェで店員さんと、それからお客とか契約先と取引先と発注先とっていう、そういう場合は一応上下とかヒエラルキーとか権威っていうのがそこに付随するんだけれども、その場所から一歩出ると、基本的に関係はフラットなんですよ。 それは男女とか年齢関係なくフラットになる。 さらにその傾向って今強まっている印象があるんですけど、日本だと何かな、職業とか社会的なステータスみたいなのがどこまでもついてくるっていうのがありますよね。 これはね、ある人は本当、鈴木寛って民主党の政治家がいましたけれども、彼が熟議の場を社会でつくろうって民主党政権時代にやるんですけど、一番どうにもならないのが丸の内アイヒマンだって言ってましたね。 丸の内のエリートサラリーマンは、熟議しようと思ってもできない。 それを社会的なポジションでポジショントークしかできないから、そんな非民主的な態度ってない。 そういうことですよね。 だから何やってましたか？部長でしたみたいな。 そういうそういうこと存在がね。,,
Rose,02:03:16:01,02:03:21:08,大津留,,,というか、自分自身が所属先と切り離して存在していないっていう。 家族もそうですよね。 何さんの。
Rose,02:03:21:10,02:03:26:06,吉田,それですよね。,,
Rose,02:03:26:08,02:03:28:04,山本,,な人格ごと企業に丸抱えっていう。 そうそうそうそうそう。,
Rose,02:03:28:04,02:03:29:10,吉田,場合によってはそれが小学校にまで持ち込まれることもあるわけですよね。,,
Rose,02:03:29:10,02:03:32:06,大津留,,,さんとか何さんとかいうの、お父さんは内々でとか、特に社宅なんかはそうですよね。
Rose,02:03:32:08,02:03:32:21,山本,,そうそうそう。,
Rose,02:03:32:21,02:03:34:16,大津留,,,さんとか何。
Rose,02:03:34:18,02:03:36:18,吉田,ですかね、内々で。,,
Rose,02:03:36:20,02:03:39:00,大津留,,,特に社宅なんかね。
Rose,02:03:39:02,02:03:43:15,吉田,逢坂そうすると。 逢坂ちょっとね、やっぱりね、そういう部分とは違うんだなっていう感じはするんですよ。 人との距離がね。 もっと近い感じがしてる。,,
Rose,02:03:43:15,02:03:49:15,不明,,,ですよね。 それは日本の。
Rose,02:03:49:17,02:03:51:05,山本,,それは日本の興味深いとか不思議なところですよね。本当にね。,
Rose,02:03:51:05,02:04:02:04,吉田,よね。 大阪と大阪、ちょっとやっぱりね、そういう部分とは違うんだなという感じはするんですよ。 人との距離が近い感じですね。,,
Rose,02:04:02:06,02:04:07:06,山本,,確かにそれはありますね。あるかもしれない。,
,02:04:07:08,02:05:32:05,D,,,今、日本の個人主義が未熟みたいな話になってたのかなと思うんですけど、ちょっと民主主義の民主主義なるもの、民主主義性みたいなものっていうのが社会の制度だけじゃないよねみたいな話があって、それが輸入のために連れてきて、時間差がある。 日本は時間差があったんですけど、僕はちょっと遡る形で改めて立場の話を少しされていましたけど、何か結局いい感じで充てられることができれば、それは人類にとって理想の民主主義の形なのか何なのか。 あとはアメリカのREVOLUTIONARYみたいな形の話もそっくりそのままヨーロッパの真似を完コピした。 来てやった方がいいんでしょうね。 その辺の理想像みたいなのがあって、それをどうにかこうにか定着させようとしているのか。 その辺モデルが日本は今モデルが失われたという話ですけど、何かモデルをロンドンモデルのモデルはみたいな話がもし可能だったら、ちょっと聞いてみたいなと思ったんですけど。
,02:05:32:07,02:05:34:14,山本,,歴史を遡っていくっていう感じ。,
,02:05:34:16,02:05:47:12,D,,,そうそうそうそうそうそう。 なんかお手本をずっとあり続ける。 ってことなんですけど。
,02:05:47:13,02:06:36:17,大津留,,,でもあえて言うならば、アメリカはヨーロッパを真似したんじゃなくて、ヨーロッパを否定したアンチテーゼ、ヨーロッパでない形がアメリカだっていうようにしても。 アメリカが先で、フランス革命が後だよっていう認識を持っているので、何かこう自分たちの手に権力を戻すとかっていう意味では、ヨーロッパはアメリカより遅れてるんだっていう、そんな意識ですかね。 そういう一番上というのが、今まで抜け切れなかったのが今の悪い状況の原因になっているのかもしれないんですけども。 建物はすごいですよ。 建物はワシントンの建物ですね。 そのままそのまま持ってきたのっていうんだけども、心は否定してるんだよっていう、その何かじゃあだっことをやめれ。 と思うんですけども、ある意味何かこうかなわないんだけども、でも負けたくないという、そういうところがあるのかなと思い。
,02:06:36:17,02:06:38:04,吉田,ヨーロッパのマネッコじゃんという感じが。,,
,02:06:38:06,02:07:00:00,大津留,,,がそのまま持ってきたのだけども、心は否定してるんだよっていう、その何かじゃあ、建物も止められなかった方がいいと思うんですけども、ある意味何かこうかなわないんだけども、でも負けたくないっていう、そういうところがあるのかなと思います。
Mango,02:07:00:02,02:09:43:23,吉田,トランプタワーはあれほど非ヨーロッパ的な感じのものはないので、そういった意味では初めて。 そのコンプレックスを解消しようとしているのかもしれないですよね。 だから大変なことにむしろなっている感じがしますけど、どうですね。 ヨーロッパで言うとヨーロッパ。 そうですね、ヨーロッパ近代いつから始まるかっていう話はしですけど、それがルネッサンスだとしたら、ルネッサンスは明らかにやっぱり古代ギリシャの文明、文化、考え方というものを再考して、ルネッサンスって再生するっていう意味ですから、そのヒューマニズムっていう考えとか精神というのを再び見出して、それをやっぱり中世的な秩序が崩壊しつつあったんですね。 封建制度というのが崩壊しつつあって、それでルネッサンスが崩壊を加速させたっていうところと、もはやすでにモデルとして立ち行かなくなったので、ルネッサンスが出てきたって、両方の関係がありますけれども、温故知新じゃないんですけども、やっぱりそういった意味で、やっぱり古代ギリシャそれから国によってはローマ帝国ですね、ローマ帝国を参照する国もありますけど、ラテン系はやっぱりローマ帝国を参照するっていうのがありますけれども、そういうことなんだろうというふうには思いますけど、やっぱり民主主義が基本的に発展したから、その後、絶対王政の時代がヨーロッパ には訪れて、で、封建制は崩壊して、今度は絶対王政が出てきた。 今度は絶対王政に対してどういうふうに王政をコントロールするのか、暴政をコントロールするのかっていうことで、議会制民主主義が発達をしてくるわけですね。 ところが、議会制民主主義って誰のものだったかっていうと、貴族とかブルジョワのためだったわけですよ。 がたまにしか招集しない議会をちゃんと常設にして、議会が承認しないと王の決定っていうのは下せないようにどんどんしていくわけですね。 だから、あれは議会制民主主義って、実は民主主義というよりも貴族制の名残なんですよね。 で、その上に基本的に前の議会制民主主義があるので、もちろん議会の門戸というのはどんどん開いていって、いろんな人が議員になっていく。 選挙権の拡大、さっきしましたけどっていうのは確かだったんですけど、議会制民主主義って実は貴族制がもたらしたものなんですね。 だから、そのフォーマットの中で民主主義をやってる限りは大きなものですよね。 こうバージョンアップ民主主義のっていうのは訪れないんじゃないかっていうふうには思います。 だから、そのフォーマットの中で民主主義をやっている限りは、大きなこうバージョンアップ民主主義の訪れないじゃないかっていう風に。,,
Mango,02:09:44:01,02:10:39:04,山本,,今のご指摘は本当によく腑に落ちるところで、政治家にいつも不思議に思うんですけどね。 僕の仲いい人とかで政治家に立候補したいっていう人は、政治学部の先生はいらっしゃるかもしれないけど、いないんですよね。 つまり、どういう人が政治家になってるんだろうって、いつも選挙のたびに思うんですよね。 うん。 それってこんなに私らの代表とか代弁なのかなとかって思ったりする。 だから現代の議会民主主義が貴族制だとまでは言わないけれど、その比喩で見ると随分と見えてくるところもある。 あくまで議会制民主主義っていうのは民主主義の一つの政体のあり方なのであって、それが民主主義の全てではないっていうのは偉い先生がよくおっしゃってることですけど、まさにそれをもう一回再認識させていただける吉田さんの話で腑に落ちましたね。,
Mango,02:10:39:06,02:11:05:21,大津留,,,だけどね、政治家を目指すすための学校で、政経塾とか一生懸命普通の人でも目指すことができるんだっていう、それを作らなければいけなかったということが裏返しとして、そういうのが何かなければ、政治家というのは道がつながる。 どこにがどう繋がってるか分からないようなものだったんだろう。
Mango,02:11:05:21,02:11:06:15,山本,,ないような、そうなんですね。 ある意味、地方議会とかはそれがまた見えやすいっていうふうに思うんですけど、衆議院、参議院の国会議員になってくるとね、例えば市民団体が推した人とかもなかなか通らないわけですよね。 ってなってくると、いったい誰が政治家になってね、やろうって。,
Mango,02:11:06:15,02:11:07:13,大津留,,,そうだったんだろうな。
Mango,02:11:07:13,02:11:26:21,山本,,を得ないですよね。,
Mango,02:11:26:23,02:12:35:22,吉田,僕の教えていた学生がそんな調査をやってて、今の90年代から今までの自民党の参議院、衆議院の議員のプロフィールを全部調べて、それと似たような有権者の割合がどれくらいかっていうと、5ぐらいしかないですか。 つまり男性です。 官僚出身です。 あるいは親戚が政治家ですかっていう。 で、政治学に技術的代表っていう考え方なんですけど、自分と似たような存在が、やっぱり代表が政治家になってると、やっぱり自分たちが代表されている。 で、それが代表制民主主義ってものですけど。 という、ある種感覚を得られるんですけど、やっぱり自分と似た、ある程度似たような存在が政治家やってるんだ。 同じようなキャリアとか、あるいは経験人生だった人が政治家やってるとやっぱりなれるんだと思うけど、そういった、やっぱりこれは社会でもね、人生でもそうだと思うんですけど、モデルってモデルケースがあるかどうかっていうのは、やっぱり大きく変わってきますよね。 その国の民主主義下において。,,
Mango,02:12:35:22,02:12:43:02,不明,,,その国の民主主義が。
,02:12:43:04,02:13:27:18,大津留,,,何か一般的に全てのケースでこの似たような出すっていうのは難しいかもしれないです。 例えばジェンダーだけで言うならば、もう少し女性が選ばれてもというところではいろいろやってますよって言って、繋がらないけれども、そういうプロアクティブな働きかけっていうのは社会にとっていいことだと思われます。 でも、何かそういう取ってつけたような、何かやったからと言って、それが定着していかないよみたいなと。 どう思われますか？何かすごくポジティブに評価される意見も聞くけども、あんなことやってっていうネガティブな声も聞かれたり。 どう判断し。 両方だってそんな特殊なことをそれだけやって、一人通したからと言って、それで広がらないんでしょう。
,02:13:27:20,02:13:29:18,山本,,ネガティブな声ありますか？ それがあなたの。,
,02:13:29:20,02:13:37:13,大津留,,,なんて、そんな特殊なことをするだけやって、一人通したからといって、それがないと思うんですよ。
Yellow,02:13:37:15,02:15:07:06,吉田,なんていう面白い政治経済学者がいるんですけど、彼が反動のレトリックっていう本を書いてて、昔から現代に至るまで、どういう言説が反動としてこう流通するかっていうのを類型化してるんですけど、一つはそういう風に改革改革をしたり変えるともっと今よりダメになるっていう考え方と、もう一つやってもどうせそんなことで変わらないよっていうのが古今東西、人類が乗ってきた一つの反応なんですって。 でも確かにそれね、人間神じゃないので、それがどういう結果を本当に生むかっていうのは分からないと思うんですけど、じゃあ人間って動物と違うのは、環境とか機会は与えられている。 でもそういう能動的にやっぱり働きかけて、何とかこうにかより良い環境とか。 条件を自分の手で作り出していく。 もっと平たく言うと、自分の運命は自分で作るってことだと思うんですけど、それで、ある種のどうせそんなことやってもっていうのが、やっぱり人間性の大きな人間の条件を諦めてることになるんじゃないかというふうに思いますよね。 これは別にリベラルとか主義とか、そういう堅苦しい話じゃなくて、やっぱり人間がどういう本来的に能力を持っている動物なのかっていうことを考えると、やっぱりうまくいかないかもしれないけど、とりあえずやってみようっていうところに行き着くんじゃないかななんいうのは、いつも学生にはそういう風に言ってますけど。 なりますね。,,
Yellow,02:15:07:06,02:15:14:22,不明,,,に言ってますけれども。 うん、そう思いますね。
,02:15:15:00,02:15:17:22,大津留,,,でも批判を受けるとますよね。何か。
Yellow,02:15:18:00,02:16:21:16,山本,,うん、そう思いますね。 私も。 ね。 気持ちはなりますけどね。 うん。 そうそう。 良いとか悪いとかじゃなくて、いやむしろそういうもんなんだって賛成するの。 民主主義とかって言っているっていうのは、その不均衡に権力関係が配置されてたり、何かこういびつだったりする時に、何か違うと思いますって言って、こう変える、参加化して変えていく、あるいはその余地を広げていくってそういうことって。 だから先程も言いましたけど、そういうもんっていうか、人間ってそういうことするんだっていうふうに思うんですよね。 だって、その友達が喧嘩してたら何かおかしいぞとかなりませやん？そういう関係なしに別に人間関係が築けないっていうに思うから、何か変なリーダーとあいつやなとかって言うわけだし。 それと一緒で、うん、いやいや、明らかにね、差別と言い得る不均衡がある場合、それは直していくっていうのは、むしろいいとか悪いとかっていうより、直していって当然なんだっていうふうに思いますけどね。,
