色選択,イン点,アウト点,スピーカーネーム,スピーカーAの文字起こし,スピーカーBの文字起こし,AやB以外
,00:00:01:01,00:01:50:17,D,,,では。 生活をやってみたい。 方なので。 古着も。 ほどでもない。 が見つけます。 していただければと思います。 ということで。 大阪での収録ができましたが、ポケットに日本語の番組なので。 大阪の風にならない。 ここでお互いを呼び合う時に。 住んでいなければ。
,00:01:50:18,00:02:58:22,大津留,,,カッコキタはです。 過去、北川はいいです。 あるよと自分の方で気を遣ったりする。 韓国人でそこまで。
,00:02:59:00,00:03:18:06,吉田,いいもそっちの早朝ですよ。 なるほど。,,
,00:03:18:07,00:03:24:17,D,,,適当ですよ。
,00:03:24:19,00:03:26:13,山本,,できて。 いただいて。 マイクテストも兼ねて。 席順はこれでいいですか？はいはい。 じゃあ方向性は開いちゃうけど。 教わった方に。,
,00:03:26:15,00:03:29:12,吉田,はい。聞こえてますでしょうか。,,
,00:03:29:14,00:03:44:05,山本,,汗の。 拾ってる。 出している。,
,00:03:44:07,00:03:48:23,D,,,から準備ができたら認定なのに任せている。
,00:03:49:04,00:03:51:20,山本,,拾ってるからの話を出し合って。,
,00:03:52:02,00:03:53:16,大津留,,,これは別にまた拾っ。
,00:03:53:19,00:05:14:10,D,,,話はそれでもマイクでこちらで収録しています。 なので、僕と皆さんの話を聴いているだけで、タイムキープくらいしか本当にこの番組ディレクターが割り込む場所はないですが、ざっくり。 事前にお送りしたメールの要点とかで流れて流れをご案内していると思いますけど、なんとなく時事ネタというかはじめましてもありますので、ちょっと雑談があればそこからスタートしてもらって、大阪みたいなことから始めればそれでいいかなとなっていますが。 なので、収録準備ができても問題なく収録できているのを確認できたけど、今の段階で何かいうか収録みたいなことを。 内容というよりは技術的なか何かその辺で確認しておきたいことと。
,00:05:14:12,00:05:18:16,大津留,,,詰まった時、詰まったときって、後でそこを切っていただけるんですか？なし。 詰まったら詰まったみたいな。
,00:05:18:18,00:05:21:00,D,,,なしでも。
,00:05:21:02,00:05:22:09,大津留,,,はい、ありがとうござい。
,00:05:22:11,00:05:38:11,D,,,が。 放送時代が5050件を107。 ちょっとヤバイです。 クレイジーな番組ですけど、それ全部で18030万ぐらいをつけていただきますので、突然全然変わってしまいます。
,00:05:38:13,00:05:39:05,大津留,,,ありがとうござい。
,00:05:39:05,00:07:09:22,D,,,ます。 ただ、何しゃべろうかなというのはむしろ味でもありますし、その考えをめぐらせている時間みたいなことがその場にいる雰囲気になりますので、あんまりまとまってからしゃべってもらっても全然大丈夫というか、そんなに矢継ぎ早に激論する番組じゃないので、後、ところどころ正常ボートが通っていれば、それについて。 の。 何かそういう話をしてもらって、人が歩いていればそういう話をの景色とか雰囲気を感じながら聞いている方もいますのでというところですかね。 スタジオのニュース番組と違って短く。 情報というよりはむしろこの空気感の中でが。 思って先に彼はしてますけども、ちょっと困るんですね。 みなさんも当然ありますから、その中で。 感じています。 から、だんだん話が深まっていけばいいかなと思います。 ただ、今彼がここで。 空間情報っていうのが大事になります。 スタジオとは違う。 紹介されたことなんだ。 からプレートですから。
,00:07:10:00,00:07:15:18,大津留,,,結構好きに。 今、お昼。
,00:07:15:20,00:07:27:17,吉田,最近、日本人も外で写真撮るようになりましたよね。 もともと中国の人たちがそういう形て日本でやるようになって。,,
,00:07:27:19,00:07:28:19,大津留,,,今、お昼。
,00:07:28:19,00:07:45:23,D,,,になりましたから、音がよければやってくださいと。 ちょっと今皆さん始めたらして、アイドリング時。
Violet,00:07:46:01,00:07:57:01,大津留,,,今はお昼なんですけども、年末に来るとあそこをずっとライトアップして、クリスマスのちょうど今ここに来るまでの間、とても来られたこと。 きれいです。
Violet,00:07:57:01,00:08:04:21,山本,,ことがあります。 あります。 きれいですよね。 本当に。 ぶらぶら散策するには一番という感じです。,
Violet,00:08:04:23,00:08:23:05,吉田,一番これ来ると、いつものパリのシテ島っていうのがセーヌ川の真ん中にあるんですけど、ちょっとセッティングに入ってますよね。 両岸があって、真ん中にこう島があって、そこにいろいろ建築物があって、みたいな話なので、いつも何か懐かしく思うんですけどね。,,
,00:08:23:07,00:08:33:13,山本,,何かよくイベントもやってますしね。 ついこの間も古着のイベントとかやってましたしね。 結構天気さえよければいろいろなことができる空間で。,
