"Speaker Name","Start Time","End Time","Text"
"D2","01:00:01:08","01:00:05:06","しまったな。責任もあるんですけども、なぜ思わせてしまったんだろう。"
"大津留2","01:00:05:06","01:00:11:17","かっていうのが、私自身としてはまだ答えが出てない。クエスチョンマーク。"
"吉田2","01:00:11:18","01:00:45:06","政治家って基本的に誰が主権者か、つまり決定する力を持つのか、持つべきなのかの闘争の歴史でもあるわけですよね。それが例えばマルクス主義はまさに労働者がそうであるべきだって言ってたわけだし、そうすると、革命が起きるので、そういうのを排除すべきだというふうに言ってたし、あるいは第1次世界大戦後、主権が制約されてた国っていうのは、ファシズムがそれによって出てくるし、そうすると、民族と血っていう話になるわけですよね。"
"吉田2","01:00:45:08","01:01:04:12","やっぱり人間がそういった意味で自己決定をしたいという本能的に持っている何かというのがずっと続いていて、それが政治、人類のかなりの歴史を作ってきたことは確かだと思うんですよね。その自己の範囲だと思うんですよ。"
"吉田2","01:01:04:14","01:01:41:12","自己決定し言った場合、そこの想像できる自己にどれぐらいの人が入ってきていいのか、来てもらいたいのかっていうのがやっぱり狭まると。やはりいわゆる排除の論理になっていって、その排除される人はその時代、時代の文脈によって変わるんですけれども、やっぱり自分に対する想像力というか、さっきの民主主義の話なんですけど、自分がどれぐらい開放的になれるかということによっても、自己決定権のあり方っていうのも変わるんだろうなというふうに感じますね。"
"山本2","01:01:41:13","01:02:10:02","いや、日本の場合は、それこそ戦争中は多民族国家だとこととむしろ押し出すんですよね。それはもちろん領土的に拡張して、帝国で多民族だからあなたたちも同じですよってことを、同じというか、その中でもグラデーションがありますけどね。それが戦後になって、いわゆる単一民族神話みたいなものが形成されていくというのは先行研究があるところですけど。"
"山本2","01:02:10:04","01:02:38:16","だから今のアメリカも排除の論理が入ってるけれど、排除の論理が前面に出てきているように見えるし、その通りなんだけど、別に同じ現象を包摂の論理で唱えることだってかつてはしてきたわけですよね。それが移民国家の強さなんだっていう形で、その時代によってその説明の論理が同じ現象だと思うんだけど、説明の論理が変わっていくための範囲が変わっていく。"
"山本2","01:02:38:21","01:02:44:14","私たちの街が変わっていくっていうのがやっぱり面白いし、面白いというか。"
"吉田2","01:02:44:16","01:03:05:10","今の話でインスパイアされたんですけど、少なくても20世紀とアメリカの世紀ですよね。ある種、巨大な帝国としてアメリカは存在していて、戦後は世界的な覇権大国としてアメリカは存在をしていて、オバマぐらいの時から徐々にその世界の警察官であることをやめますというふうにオバマ大統領行ったわけですね。"
"吉田2","01:03:05:10","01:03:29:11","その延長線上に、そういった意味ではトランプって位置づけられると思うんですけど、帝国であろうとしてやめたということをアメリカが、つまり帝国って基本的に多民族で、いろいろなものとこう共生していくというか、帝国ですけど、それを止めようとしているアメリカだからこそ、むしろ今、移民排斥みたいなものが広がっているっていう風に解釈できますかね。"
"吉田2","01:03:29:16","01:03:36:08","いかがでしょうか。"
"大津留2","01:03:36:10","01:03:40:13","でも、2050年には人口が。"
"吉田2","01:03:40:14","01:03:41:14","白人。"
"大津留2","01:03:41:16","01:03:48:04","の今でいう気になるっていうのを排斥していっても、その大きな流れも。"
"吉田2","01:03:48:06","01:03:52:15","そうです。"
"大津留2","01:03:52:17","01:03:59:04","なぜそれを恐怖だと思うのですが。"
