"Speaker Name","Start Time","End Time","Text"
"D","00:00:03:02","00:00:14:01","やってみたい。"
"D","00:00:14:03","00:00:32:13","わけじゃないけど。"
"D","00:00:32:15","00:00:57:08","次々となくなっていく中。"
"D","00:00:57:10","00:01:02:04","のますつけをし。"
"D","00:01:02:06","00:01:07:06","ていただければと思います。"
"D","00:01:07:08","00:01:10:00","ということで。"
"D","00:01:10:02","00:01:13:13","大阪での収録がきましたが。"
"D","00:01:13:15","00:01:16:14","ポケットポケットにという。"
"D","00:01:16:16","00:01:31:11","番組なので、気負うことなく大阪の風にリラックスしながらと思うんですけど、お互いを呼び合う時にどうしても。"
"D","00:01:31:13","00:01:37:05","政治としての話になっちゃう。"
"D","00:01:37:06","00:01:40:16","そこは話になる。"
"吉田","00:01:40:18","00:01:42:15","と思います。"
"山本","00:01:42:17","00:01:43:04","さんで良かっ。"
"D","00:01:43:04","00:01:45:21","た。"
"大津留","00:01:45:23","00:02:53:09","過去、北川はいいです。あるよと自分の方で気を遣ったりする。韓国人でそこまで。"
"吉田","00:02:53:11","00:02:58:09","今こっちの総長です。"
"D","00:02:58:11","00:03:12:18","こないだサマータイムが入って、今7時間ですね。そうです。フランス。"
"吉田","00:03:12:20","00:03:18:01","が、皆さん適当に。"
"D","00:03:18:03","00:03:39:03","座っていただいて時間ができていますと。"
"D","00:03:39:05","00:03:43:18","言いながら準備ができたら、みんなの話なのかそう言っ。"
"D","00:03:43:18","00:03:46:11","ているのかと、ここからの話を。"
"吉田","00:03:46:11","00:03:47:03","出したので。"
"大津留","00:03:47:03","00:03:48:12","これは別にまた拾っ。"
"D","00:03:48:12","00:03:58:09","てる話はそれぞれのマイクで、こちらで収録しています。お話は。"
"D","00:03:58:11","00:04:02:01","やりとりを。"
"D","00:04:02:03","00:04:08:04","しちゃって。"
"D","00:04:08:06","00:04:21:13","なので、僕はずっと皆さんの話を聞いているだけで、タイムキープぐらいしか本当にあんまりこの番組にディレクターが割り込む場所はないんですが、ざっくり。"
"D","00:04:21:15","00:04:46:01","事前にお送りしたメールの要点とか、メールで流れの解説と流れをご案内してると思いますけど、まあなんとなく時事ネタというかはじめましてもありますので、ちょっと雑談があればそこからスタートしてもらって、大阪みたいなことから始めればそれでいいかなと思っておりますが。"
"D","00:04:46:03","00:05:09:12","なので、収録準備ができて、マイクも問題なく収録できているのが確認できたらもうスタートですけど、今の段階で何か質問というか、こういうことってどうなんですか？みたいなことなんでしょうかね。内容というよりは技術的なというか、何かその辺で確認しておきたいこととかが。"
