"Speaker Name","Start Time","End Time","Text"
"大津留","00:00:01:20","00:00:07:21","確か。"
"大津留","00:00:07:23","00:00:38:09","をやってみたい。"
"大津留","00:00:38:11","00:00:43:24","ものがなくなっていく中。"
"大津留","00:00:44:01","00:00:48:18","なるほどではない。"
"山本","00:00:48:20","00:01:00:24","じゃないですか。"
"大津留","00:01:01:01","00:01:06:16","ないけど。"
"大津留","00:01:06:18","00:01:10:17","徹底していただければ。"
"大津留","00:01:10:19","00:01:30:05","みなさんください。ということで。大阪での収録がなくなってきましたが。"
"大津留","00:01:30:07","00:01:50:24","お互いを呼び。"
"大津留","00:01:51:01","00:02:04:00","北川はということでない。"
"大津留","00:02:04:02","00:02:16:12","でしょ。"
"大津留","00:02:16:14","00:03:06:16","入ってみましょう。"
"大津留","00:03:06:18","00:03:18:06","そうです。"
"山本","00:03:18:08","00:03:23:17","できて。"
"山本","00:03:23:19","00:03:38:13","いただいて。マイクテストも兼ねて。席順はこれでいいですか？はいはい。じゃあ方向性は開いちゃうけど。教わった方に。"
"D","00:03:38:15","00:03:39:08","こそ私が。"
"山本","00:03:39:10","00:03:44:20","汗の。"
"D","00:03:44:22","00:03:49:01","彼女ができたらみんなの話を。"
"山本","00:03:49:03","00:03:50:07","拾ってる。"
"大津留","00:03:50:09","00:03:51:10","からの話を。"
"山本","00:03:51:12","00:03:51:23","出している。"
"大津留","00:03:52:04","00:03:53:17","ように。"
"大津留","00:03:53:19","00:04:01:19","話はそれでもマイクでこちらで収録。"
"大津留","00:04:01:21","00:04:02:18","ということよう。"
"D","00:04:02:19","00:04:08:04","です。"
"D","00:04:08:06","00:04:13:01","で。"
"D","00:04:13:03","00:04:26:11","なので、僕はずっと聴いているだけでタイムキープぐらいしかこの番組ディレクターがざっくり。"
"D","00:04:26:12","00:04:29:18","事前にお送りしたメール。"
"D","00:04:29:20","00:05:07:06","とかで、流れを流れをご案内していると思いますけど、なんとなくネタとはじめましてもありますので、ちょっとがあればそこからスタートしてもらって、大阪みたいなことから始めればそれでいいかなとみんな。なので、収録準備ができて、マイクも収録できているのを確認できたのですけど、今の段階で何か。"
"D","00:05:07:08","00:05:14:10","内容というよりは技術的な、その辺で確認しておきたいことと、なくなって。"
"大津留","00:05:14:12","00:05:21:22","しまったとつまったときで、後でそこを切っていただけるんですか。"
"D","00:05:21:24","00:05:27:13","関西が放送自体が50分、100分。"
"山本","00:05:27:15","00:05:29:05","ちょっと長いですね。"
"D","00:05:29:07","00:05:54:16","クレイジーな番組ですけど、それ1283時間ぐらい付き合いいただきますので、全然カットしますよと。ただ、何しゃべろうかなっていう事でもありますし、その考えを巡らせている時間みたいなことがその場にいる雰囲気になりますので、あんまりまとまってからしゃべってもらっても全然大丈夫というか。"
"D","00:05:54:16","00:06:23:07","そんなに矢継ぎ早に激論をする番組じゃないので、後、ところどころ通常ボートが通っていればそれについてくれたり、目についたのかという話をしてもらって、人が歩いていればそういう話をしてもらったり、外の景色とか雰囲気を感じながら聞いている方もいますのでというところですかね。"
"大津留","00:06:23:09","00:06:24:07","短く情報。"
"大津留","00:06:24:12","00:06:31:24","というよりは空気感の中で選手がもっと先かわかりはしてません。"
"大津留","00:06:32:01","00:06:39:09","が、ちょっと困るんですけど。"
"大津留","00:06:39:11","00:06:44:02","ありますか。"
"大津留","00:06:44:04","00:06:48:22","というところでした。"
"大津留","00:06:48:24","00:06:53:10","が、今。"
