"Speaker Name","Start Time","End Time","Text"
"話者 1","00:00:08:00","00:00:18:22","やってみたい。"
"D","00:00:18:24","00:00:37:09","わけではない。"
"大津留","00:00:37:11","00:00:45:16","次々と古いものがなくなっていく中で。"
"話者 1","00:00:45:18","00:01:01:21","なるほど、ではない。"
"大津留","00:01:01:23","00:01:06:14","けど。"
"大津留","00:01:06:16","00:01:25:12","チェックしていただければと思いますけど。ということで。大阪での収録てきましたが。"
"大津留","00:01:25:14","00:01:50:22","なかなかリラックスしながらですけど。"
"大津留","00:01:50:24","00:02:06:22","起きたか。"
"話者 1","00:02:06:24","00:02:34:09","と。"
"話者 1","00:02:34:11","00:02:35:07","思って聞き。"
"D","00:02:35:09","00:02:58:06","こっちでもいいですか？どちらでも。"
"吉田","00:02:58:08","00:03:04:07","いいもそっちの早朝ですよ。"
"D","00:03:04:09","00:03:10:23","はいはいはい。そうですか。そうですよ。"
"吉田","00:03:11:00","00:03:22:21","なるほど。"
"吉田","00:03:22:23","00:03:46:16","はい。聞こえてますでしょうか。"
"D","00:03:46:18","00:03:50:03","これ。なるほど。"
"D","00:03:50:05","00:04:05:13","お金の話を。なるほど。この話はマイクでこちらで収録しています。"
"D","00:04:05:15","00:04:18:02","けど。"
"D","00:04:18:04","00:04:26:08","この番組。"
"D","00:04:26:10","00:04:29:17","事前にお送り。"
"D","00:04:29:19","00:04:40:03","とかメールで行われるのを案内していると思いますけど、なんとなく。"
"D","00:04:40:05","00:04:59:15","はじめましてもありますので。そこからスタートしてもらって、大阪ですねみたいなことから始めればそれでいいかなと思っており。"
"D","00:04:59:17","00:05:07:05","今の段階で。"
"D","00:05:07:07","00:05:14:08","内容というよりは技術的な点で確認しておきたい。"
"大津留","00:05:14:10","00:05:33:15","しまったとき、詰まったときって、後で聞いていただけるんですか。"
"D","00:05:33:17","00:05:44:04","3時間ぐらいて。"
"D","00:05:44:06","00:05:45:19","でもありますし。"
"大津留","00:05:45:21","00:05:52:04","考えを巡らせている時間。"
"大津留","00:05:52:06","00:06:00:00","的な。"
"D","00:06:00:02","00:06:04:18","ところ。"
"D","00:06:04:20","00:06:15:07","に。"
"D","00:06:15:09","00:06:17:23","聞いている。"
"大津留","00:06:18:00","00:06:30:08","という。"
"大津留","00:06:30:10","00:06:32:10","お金を入れてん？"
"話者 1","00:06:32:12","00:06:39:07","ちょっと困るんです。"
"大津留","00:06:39:09","00:06:56:20","あります。"
"大津留","00:06:56:22","00:07:07:17","スタジオ。"
"D","00:07:07:19","00:07:15:16","とした。"
"吉田","00:07:15:18","00:07:33:18","最近、日本人も外で写真撮るようになりましたよね。もともと中国の人たちがそういう形て日本でやるようになって。"
"D","00:07:33:20","00:07:46:12","ちょっと今皆さんしゃべり始めたら、ちょっとて見られという感じでして、アイドリングトーク的なことをやっていただけたらと思います。"
